[18:34:32] ===== stage=aggregate ts=20260729_183432 ctx=32768 attn=sdpa seed_default=42 =====
[18:34:35] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_aggregate_20260729_183432.txt
[18:34:37] excluding 42 toy selftest rows from aggregation
[18:34:38] per-cell table (95% bootstrap CIs):
       model   arm lang  ctx_len         press  kept        task  seed   toy  acc  ci_low  ci_high   n  mean_wall_s
  llama31-8b joint   en    32768         knorm  0.25 niah_single    42 False 0.16    0.09     0.23 100         5.42
  llama31-8b joint   ja    32768         knorm  0.25 niah_single    42 False 0.17    0.10     0.25 100         5.12
  llama31-8b joint   ko    32768         knorm  0.25 niah_single    42 False 0.35    0.26     0.45 100         5.03
  llama31-8b joint   pl    32768         knorm  0.25 niah_single    42 False 0.03    0.00     0.07 100         5.95
  llama31-8b joint   sw    32768         knorm  0.25 niah_single    42 False 0.07    0.03     0.12 100         6.44
  llama31-8b joint   vi    32768         knorm  0.25 niah_single    42 False 0.02    0.00     0.05 100         5.91
  llama31-8b joint   zh    32768         knorm  0.25 niah_single    42 False 0.06    0.02     0.11 100         5.13
  llama31-8b joint   en    32768         knorm  0.50 niah_single    42 False 0.70    0.61     0.80 100         5.12
  llama31-8b joint   ja    32768         knorm  0.50 niah_single    42 False 0.52    0.42     0.62 100         5.07
  llama31-8b joint   ko    32768         knorm  0.50 niah_single    42 False 0.49    0.40     0.59 100         4.97
  llama31-8b joint   pl    32768         knorm  0.50 niah_single    42 False 0.34    0.24     0.43 100         5.61
  llama31-8b joint   sw    32768         knorm  0.50 niah_single    42 False 0.62    0.53     0.71 100         6.39
  llama31-8b joint   vi    32768         knorm  0.50 niah_single    42 False 0.36    0.27     0.46 100         5.42
  llama31-8b joint   zh    32768         knorm  0.50 niah_single    42 False 0.40    0.31     0.50 100         5.20
  llama31-8b joint   en    32768          none  1.00 niah_single    42 False 1.00    1.00     1.00 100         5.26
  llama31-8b joint   ja    32768          none  1.00 niah_single    42 False 0.98    0.95     1.00 100         5.10
  llama31-8b joint   ko    32768          none  1.00 niah_single    42 False 0.77    0.68     0.85 100         5.35
  llama31-8b joint   pl    32768          none  1.00 niah_single    42 False 0.84    0.76     0.91 100         5.57
  llama31-8b joint   sw    32768          none  1.00 niah_single    42 False 0.92    0.86     0.97 100         5.61
  llama31-8b joint   vi    32768          none  1.00 niah_single    42 False 0.92    0.86     0.97 100         5.62
  llama31-8b joint   zh    32768          none  1.00 niah_single    42 False 0.98    0.95     1.00 100         5.01
  llama31-8b joint   en    32768        snapkv  0.25 niah_single    42 False 1.00    1.00     1.00 100         5.33
  llama31-8b joint   ja    32768        snapkv  0.25 niah_single    42 False 0.98    0.95     1.00 100         5.04
  llama31-8b joint   ko    32768        snapkv  0.25 niah_single    42 False 0.75    0.66     0.83 100         5.31
  llama31-8b joint   pl    32768        snapkv  0.25 niah_single    42 False 0.83    0.75     0.90 100         5.47
