[19:09:01] ===== stage=analyze ts=20260722_190901 model=meta-llama/Llama-3.1-8B-Instruct task=niah_single ctx=32768 attn=sdpa seed_default=42 =====
[19:09:06] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_analyze_20260722_190901.txt
[19:09:07] en: 100 paired samples across 7 settings
[19:09:07] ja: 100 paired samples across 7 settings
[19:09:07] ko: 100 paired samples across 7 settings
[19:09:07] pl: 100 paired samples across 7 settings
[19:09:07] sw: 100 paired samples across 7 settings
[19:09:07] vi: 100 paired samples across 7 settings
[19:09:07] zh: 100 paired samples across 7 settings
[19:09:07] gap table (paired bootstrap, B=2000):
lang         press  kept  delta  delta_ci_low  delta_ci_high  gap_amp  ga_ci_low  ga_ci_high  ga_sig  gap_amp_logodds  ga_lo_ci_low  ga_lo_ci_high
  en        snapkv  0.50   0.00          0.00         0.0000     0.00     0.0000      0.0000   False           0.0000        0.0000         0.0000
  en        snapkv  0.25   0.00          0.00         0.0000     0.00     0.0000      0.0000   False           0.0000        0.0000         0.0000
  en streaming_llm  0.50   0.53          0.43         0.6300     0.00     0.0000      0.0000   False           0.0000       -0.0000         0.0000
  en streaming_llm  0.25   0.71          0.62         0.7900     0.00     0.0000      0.0000   False           0.0000       -0.0000         0.0000
  en         knorm  0.50   0.16          0.09         0.2402     0.00     0.0000      0.0000   False           0.0000       -0.0000         0.0000
  en         knorm  0.25   0.74          0.65         0.8200     0.00     0.0000      0.0000   False           0.0000       -0.0000         0.0000
  ja        snapkv  0.50   0.00          0.00         0.0000     0.00     0.0000      0.0000   False           0.0000        0.0000         0.0000
  ja        snapkv  0.25   0.00          0.00         0.0000     0.00     0.0000      0.0000   False           0.0000        0.0000         0.0000
  ja streaming_llm  0.50   0.54          0.44         0.6400     0.01    -0.1300      0.1500   False           0.5209       -1.5264         2.3740
  ja streaming_llm  0.25   0.72          0.63         0.8100     0.01    -0.1100      0.1400   False           0.5209       -1.5203         2.4119
  ja         knorm  0.50   0.24          0.16         0.3300     0.08    -0.0300      0.1900   False           0.9305       -1.1005         2.7407
  ja         knorm  0.25   0.59          0.50         0.6900    -0.15    -0.2800     -0.0200    True          -0.2163       -2.3162         1.6364
  ko        snapkv  0.50   0.01         -0.02         0.0400     0.01    -0.0200      0.0400   False           0.0783       -0.1829         0.3946
  ko        snapkv  0.25   0.02         -0.01         0.0600     0.02    -0.0100      0.0600   False           0.1526       -0.1272         0.5011
  ko streaming_llm  0.50   0.52          0.42         0.6100    -0.01    -0.1500      0.1300   False          -1.4302       -3.2846        -0.2741
  ko streaming_llm  0.25   0.70          0.59         0.8000    -0.01    -0.1400      0.1200   False          -1.2375       -3.1413         0.1110
  ko         knorm  0.50   0.19          0.12         0.2700     0.03    -0.0800      0.1400   False          -1.0933       -2.9482        -0.0027
  ko         knorm  0.25   0.08          0.02         0.1500    -0.66    -0.7700     -0.5500    True          -4.2760       -6.1921        -3.2427
  pl        snapkv  0.50  -0.01         -0.03         0.0000    -0.01    -0.0300      0.0000   False          -0.0783       -0.2740         0.0000
  pl        snapkv  0.25  -0.01         -0.06         0.0300    -0.01    -0.0600      0.0300   False          -0.0783       -0.4622         0.2659
  pl streaming_llm  0.50   0.47          0.35         0.5702    -0.06    -0.2200      0.0900   False          -1.6803       -3.6241        -0.5350
  pl streaming_llm  0.25   0.69          0.58         0.7800    -0.02    -0.1600      0.1100   False          -1.3158       -3.3183        -0.0479
  pl         knorm  0.50   0.28          0.18         0.3800     0.12    -0.0100      0.2500   False          -0.7501       -2.7118         0.3999
  pl         knorm  0.25   0.77          0.68         0.8500     0.03    -0.1000      0.1600   False          -0.7176       -2.8018         0.6862
  sw        snapkv  0.50   0.00          0.00         0.0000     0.00     0.0000      0.0000   False           0.0000        0.0000         0.0000
  sw        snapkv  0.25   0.01          0.00         0.0300     0.01     0.0000      0.0300   False           1.1086        0.0000         1.9762
  sw streaming_llm  0.50   0.56          0.47         0.6600     0.03    -0.1100      0.1700   False           1.6696       -0.1608         2.6617
  sw streaming_llm  0.25   0.72          0.63         0.8000     0.01    -0.1200      0.1300   False           1.5801       -0.3343         2.6207
  sw         knorm  0.50   0.35          0.26         0.4500     0.19     0.0700      0.3100    True           2.5120        0.6672         3.5445
  sw         knorm  0.25   0.84          0.77         0.9100     0.10    -0.0100      0.2200   False           2.1243        0.2126         3.2215
  vi        snapkv  0.50   0.00          0.00         0.0000     0.00     0.0000      0.0000   False           0.0000        0.0000         0.0000
  vi        snapkv  0.25   0.01          0.00         0.0300     0.01     0.0000      0.0300   False           0.0601        0.0000         0.2126
  vi streaming_llm  0.50   0.45          0.35         0.5500    -0.08    -0.2100      0.0700   False          -1.8921       -3.7499        -0.7967
  vi streaming_llm  0.25   0.66          0.57         0.7500    -0.05    -0.1800      0.0802   False          -1.5030       -3.4099        -0.2246
  vi         knorm  0.50   0.71          0.61         0.8000     0.55     0.4300      0.6600    True           1.4541       -0.5040         2.7905
  vi         knorm  0.25   0.74          0.65         0.8200     0.00    -0.1300      0.1202   False          -0.7678       -2.7890         0.7909
  zh        snapkv  0.50   0.00          0.00         0.0000     0.00     0.0000      0.0000   False           0.0000        0.0000         0.0000
