[07:37:33] ===== stage=batch_ja ts=20260722_073733 model=meta-llama/Llama-3.1-8B-Instruct task=niah_single ctx=32768 attn=sdpa seed_default=42 =====
[07:37:33] ja: depth recovered for 100 samples (0 with multiple gold occurrences — first used)
[07:37:33] === cell 1/1 [fddb6189c0e5fabd] {'lang': 'ja', 'ctx_len': 32768, 'press': 'none', 'kept': 1.0, 'task': 'niah_single', 'seed': 42, 'toy': False} n=100 | resume: 0 done, 100 to run
[07:38:24] [##......................] 10/100 (10.0%) | ETA   7.6m | sess-acc 0.90 | 5.1s/sample
[07:39:14] [####....................] 20/100 (20.0%) | ETA   6.7m | sess-acc 0.95 | 5.1s/sample
[07:40:04] [#######.................] 30/100 (30.0%) | ETA   5.9m | sess-acc 0.97 | 5.0s/sample
[07:41:00] [#########...............] 40/100 (40.0%) | ETA   5.2m | sess-acc 0.97 | 5.2s/sample
[07:41:50] [############............] 50/100 (50.0%) | ETA   4.3m | sess-acc 0.98 | 5.1s/sample
[07:42:43] [##############..........] 60/100 (60.0%) | ETA   3.4m | sess-acc 0.98 | 5.2s/sample
[07:43:36] [################........] 70/100 (70.0%) | ETA   2.6m | sess-acc 0.99 | 5.2s/sample
[07:44:27] [###################.....] 80/100 (80.0%) | ETA   1.7m | sess-acc 0.99 | 5.2s/sample
[07:45:21] [#####################...] 90/100 (90.0%) | ETA   0.9m | sess-acc 0.99 | 5.2s/sample
[07:46:12] [########################] 100/100 (100.0%) | ETA   0.0m | sess-acc 0.99 | 5.2s/sample
[07:46:15] CELL DONE [fddb6189c0e5fabd] acc=0.990 n=100
