[07:39:42] ===== stage=batch_ko ts=20260722_073942 model=meta-llama/Llama-3.1-8B-Instruct task=niah_single ctx=32768 attn=sdpa seed_default=42 =====
[07:39:42] ko: depth recovered for 100 samples (0 with multiple gold occurrences — first used)
[07:39:42] === cell 1/1 [8a32732417e7857b] {'lang': 'ko', 'ctx_len': 32768, 'press': 'none', 'kept': 1.0, 'task': 'niah_single', 'seed': 42, 'toy': False} n=100 | resume: 0 done, 100 to run
[07:40:34] [##......................] 10/100 (10.0%) | ETA   7.7m | sess-acc 0.80 | 5.2s/sample
[07:41:25] [####....................] 20/100 (20.0%) | ETA   6.8m | sess-acc 0.80 | 5.1s/sample
[07:42:16] [#######.................] 30/100 (30.0%) | ETA   6.0m | sess-acc 0.83 | 5.1s/sample
[07:43:08] [#########...............] 40/100 (40.0%) | ETA   5.1m | sess-acc 0.80 | 5.1s/sample
[07:43:59] [############............] 50/100 (50.0%) | ETA   4.3m | sess-acc 0.84 | 5.1s/sample
[07:44:50] [##############..........] 60/100 (60.0%) | ETA   3.4m | sess-acc 0.87 | 5.1s/sample
[07:45:42] [################........] 70/100 (70.0%) | ETA   2.6m | sess-acc 0.87 | 5.1s/sample
[07:46:33] [###################.....] 80/100 (80.0%) | ETA   1.7m | sess-acc 0.88 | 5.1s/sample
[07:47:24] [#####################...] 90/100 (90.0%) | ETA   0.9m | sess-acc 0.86 | 5.1s/sample
[07:48:22] [########################] 100/100 (100.0%) | ETA   0.0m | sess-acc 0.86 | 5.2s/sample
[07:48:29] CELL DONE [8a32732417e7857b] acc=0.860 n=100
