[21:32:08] ===== stage=status ts=20260728_213208 ctx=32768 attn=sdpa seed_default=42 =====
[21:32:11] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_status_20260728_213208.txt
[21:32:12] llama31-8b/joint/niah_single  en none           kept=1.0   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:12] llama31-8b/joint/niah_single  en snapkv         kept=0.5   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:13] llama31-8b/joint/niah_single  en snapkv         kept=0.25  [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:13] llama31-8b/joint/niah_single  en streaming_llm  kept=0.5   [############............] 50/100 (50.0%) | ETA   0.0m 
[21:32:13] llama31-8b/joint/niah_single  en streaming_llm  kept=0.25  [........................] 0/100 ( 0.0%) | ETA   3.1m 
[21:32:13] llama31-8b/joint/niah_single  en knorm          kept=0.5   [........................] 0/100 ( 0.0%) | ETA   3.1m 
[21:32:13] llama31-8b/joint/niah_single  en knorm          kept=0.25  [........................] 0/100 ( 0.0%) | ETA   3.1m 
[21:32:14] llama31-8b/joint/niah_single  pl none           kept=1.0   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:14] llama31-8b/joint/niah_single  pl snapkv         kept=0.5   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:14] llama31-8b/joint/niah_single  pl snapkv         kept=0.25  [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:15] llama31-8b/joint/niah_single  pl streaming_llm  kept=0.5   [########................] 34/100 (34.0%) | ETA   0.1m 
[21:32:15] llama31-8b/joint/niah_single  pl streaming_llm  kept=0.25  [........................] 0/100 ( 0.0%) | ETA   5.9m 
[21:32:15] llama31-8b/joint/niah_single  pl knorm          kept=0.5   [........................] 0/100 ( 0.0%) | ETA   5.9m 
[21:32:15] llama31-8b/joint/niah_single  pl knorm          kept=0.25  [........................] 0/100 ( 0.0%) | ETA   5.9m 
[21:32:15] llama31-8b/joint/niah_single  zh none           kept=1.0   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:16] llama31-8b/joint/niah_single  zh snapkv         kept=0.5   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:16] llama31-8b/joint/niah_single  zh snapkv         kept=0.25  [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:17] llama31-8b/joint/niah_single  zh streaming_llm  kept=0.5   [#################.......] 72/100 (72.0%) | ETA   0.0m 
[21:32:17] llama31-8b/joint/niah_single  zh streaming_llm  kept=0.25  [........................] 0/100 ( 0.0%) | ETA   8.7m 
[21:32:17] llama31-8b/joint/niah_single  zh knorm          kept=0.5   [........................] 0/100 ( 0.0%) | ETA   8.7m 
[21:32:17] llama31-8b/joint/niah_single  zh knorm          kept=0.25  [........................] 0/100 ( 0.0%) | ETA   8.7m 
[21:32:17] llama31-8b/joint/niah_single  ja none           kept=1.0   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:18] llama31-8b/joint/niah_single  ja snapkv         kept=0.5   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:18] llama31-8b/joint/niah_single  ja snapkv         kept=0.25  [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:19] llama31-8b/joint/niah_single  ja streaming_llm  kept=0.5   [###############.........] 64/100 (64.0%) | ETA   0.1m 
[21:32:19] llama31-8b/joint/niah_single  ja streaming_llm  kept=0.25  [........................] 0/100 ( 0.0%) | ETA  12.3m 
[21:32:19] llama31-8b/joint/niah_single  ja knorm          kept=0.5   [........................] 0/100 ( 0.0%) | ETA  12.3m 
[21:32:19] llama31-8b/joint/niah_single  ja knorm          kept=0.25  [........................] 0/100 ( 0.0%) | ETA  12.3m 
