model,arm,task,press,kept,phi_base,phi_comp,amplification,ci_low,ci_high,ci_excludes_1
llama31-8b,joint,niah_single,knorm,0.25,9.15,12.55,1.372,0.644,2.813,False
llama31-8b,joint,niah_single,knorm,0.5,9.15,7.3,0.797,0.395,1.657,False
llama31-8b,joint,niah_single,snapkv,0.25,9.15,10.55,1.153,0.995,1.359,False
llama31-8b,joint,niah_single,snapkv,0.5,9.15,10.03,1.096,0.976,1.262,False
llama31-8b,joint,niah_single,streaming_llm,0.25,9.15,2.26,0.247,0.118,0.738,True
llama31-8b,joint,niah_single,streaming_llm,0.5,9.15,1.35,0.147,0.069,0.557,True
llama31-8b,qa,niah_none,knorm,0.25,30.34,36.87,1.215,0.948,1.567,False
llama31-8b,qa,niah_none,knorm,0.5,30.34,41.36,1.363,1.085,1.71,True
llama31-8b,qa,niah_none,snapkv,0.25,30.34,39.67,1.308,1.028,1.668,True
llama31-8b,qa,niah_none,snapkv,0.5,30.34,39.17,1.291,1.048,1.595,True
llama31-8b,qa,niah_none,streaming_llm,0.25,30.34,30.92,1.019,0.773,1.366,False
llama31-8b,qa,niah_none,streaming_llm,0.5,30.34,32.35,1.066,0.826,1.393,False
llama31-8b,qa,niah_single,knorm,0.25,8.91,46.39,5.205,2.961,8.793,True
llama31-8b,qa,niah_single,knorm,0.5,8.91,20.13,2.258,1.234,3.94,True
llama31-8b,qa,niah_single,snapkv,0.25,8.91,47.03,5.277,3.147,8.459,True
llama31-8b,qa,niah_single,snapkv,0.5,8.91,38.65,4.336,2.515,6.951,True
llama31-8b,qa,niah_single,streaming_llm,0.25,8.91,0.65,0.073,0.04,0.435,True
llama31-8b,qa,niah_single,streaming_llm,0.5,8.91,0.55,0.062,0.036,0.403,True
qwen25-7b-1m,joint,niah_single,knorm,0.25,31.19,2.29,0.073,0.026,0.249,True
qwen25-7b-1m,joint,niah_single,knorm,0.5,31.19,30.83,0.988,0.633,1.647,False
qwen25-7b-1m,joint,niah_single,snapkv,0.25,31.19,40.5,1.298,1.049,1.654,True
qwen25-7b-1m,joint,niah_single,snapkv,0.5,31.19,29.9,0.959,0.743,1.216,False
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,31.19,1.4,0.045,0.023,0.156,True
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,31.19,2.98,0.096,0.051,0.233,True
qwen25-7b-1m,qa,niah_none,knorm,0.25,32.62,11.09,0.34,0.201,0.548,True
qwen25-7b-1m,qa,niah_none,knorm,0.5,32.62,24.88,0.763,0.562,1.025,False
qwen25-7b-1m,qa,niah_none,snapkv,0.25,32.62,24.13,0.74,0.49,1.067,False
qwen25-7b-1m,qa,niah_none,snapkv,0.5,32.62,21.07,0.646,0.458,0.899,True
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,32.62,27.92,0.856,0.612,1.149,False
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,32.62,40.04,1.227,0.958,1.562,False
qwen25-7b-1m,qa,niah_single,knorm,0.25,42.37,1.33,0.031,0.02,0.115,True
qwen25-7b-1m,qa,niah_single,knorm,0.5,42.37,36.46,0.861,0.604,1.318,False
qwen25-7b-1m,qa,niah_single,snapkv,0.25,42.37,49.67,1.172,0.815,1.747,False
qwen25-7b-1m,qa,niah_single,snapkv,0.5,42.37,35.18,0.83,0.634,1.188,False
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,42.37,3.31,0.078,0.052,0.17,True
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,42.37,7.78,0.184,0.127,0.325,True
