model,arm,task,lang,press,kept,n,acc,ci_low,ci_high
llama31-8b,joint,niah_single,en,knorm,0.25,100,0.16,0.09,0.24
llama31-8b,joint,niah_single,en,knorm,0.5,100,0.7,0.61,0.79
llama31-8b,joint,niah_single,en,none,1.0,100,1.0,1.0,1.0
llama31-8b,joint,niah_single,en,snapkv,0.25,100,1.0,1.0,1.0
llama31-8b,joint,niah_single,en,snapkv,0.5,100,1.0,1.0,1.0
llama31-8b,joint,niah_single,en,streaming_llm,0.25,100,0.28,0.2,0.37
llama31-8b,joint,niah_single,en,streaming_llm,0.5,100,0.46,0.36,0.56
llama31-8b,joint,niah_single,ja,knorm,0.25,100,0.17,0.1,0.25
llama31-8b,joint,niah_single,ja,knorm,0.5,100,0.52,0.42,0.62
llama31-8b,joint,niah_single,ja,none,1.0,100,0.98,0.95,1.0
llama31-8b,joint,niah_single,ja,snapkv,0.25,100,0.98,0.95,1.0
llama31-8b,joint,niah_single,ja,snapkv,0.5,100,0.98,0.95,1.0
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,100,0.26,0.18,0.35
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,100,0.44,0.35,0.54
llama31-8b,joint,niah_single,ko,knorm,0.25,100,0.35,0.26,0.45
llama31-8b,joint,niah_single,ko,knorm,0.5,100,0.49,0.39,0.59
llama31-8b,joint,niah_single,ko,none,1.0,100,0.77,0.69,0.85
llama31-8b,joint,niah_single,ko,snapkv,0.25,100,0.75,0.66,0.83
llama31-8b,joint,niah_single,ko,snapkv,0.5,100,0.76,0.67,0.84
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,100,0.15,0.08,0.22
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,100,0.32,0.23,0.41
llama31-8b,joint,niah_single,pl,knorm,0.25,100,0.03,0.0,0.07
llama31-8b,joint,niah_single,pl,knorm,0.5,100,0.34,0.25,0.43
llama31-8b,joint,niah_single,pl,none,1.0,100,0.84,0.77,0.91
llama31-8b,joint,niah_single,pl,snapkv,0.25,100,0.83,0.76,0.9
llama31-8b,joint,niah_single,pl,snapkv,0.5,100,0.83,0.76,0.9
llama31-8b,joint,niah_single,pl,streaming_llm,0.25,100,0.13,0.07,0.2
llama31-8b,joint,niah_single,pl,streaming_llm,0.5,100,0.33,0.24,0.42
llama31-8b,joint,niah_single,sw,knorm,0.25,100,0.07,0.03,0.12
llama31-8b,joint,niah_single,sw,knorm,0.5,100,0.62,0.53,0.71
llama31-8b,joint,niah_single,sw,none,1.0,100,0.92,0.86,0.97
llama31-8b,joint,niah_single,sw,snapkv,0.25,100,0.92,0.86,0.97
llama31-8b,joint,niah_single,sw,snapkv,0.5,100,0.92,0.86,0.97
llama31-8b,joint,niah_single,sw,streaming_llm,0.25,100,0.28,0.2,0.37
llama31-8b,joint,niah_single,sw,streaming_llm,0.5,100,0.43,0.33,0.53
llama31-8b,joint,niah_single,vi,knorm,0.25,100,0.02,0.0,0.05
llama31-8b,joint,niah_single,vi,knorm,0.5,100,0.36,0.2698,0.45
llama31-8b,joint,niah_single,vi,none,1.0,100,0.92,0.86,0.97
llama31-8b,joint,niah_single,vi,snapkv,0.25,100,0.93,0.88,0.97
llama31-8b,joint,niah_single,vi,snapkv,0.5,100,0.93,0.88,0.97
llama31-8b,joint,niah_single,vi,streaming_llm,0.25,100,0.24,0.16,0.33
llama31-8b,joint,niah_single,vi,streaming_llm,0.5,100,0.44,0.34,0.53
llama31-8b,joint,niah_single,zh,knorm,0.25,100,0.06,0.02,0.11
llama31-8b,joint,niah_single,zh,knorm,0.5,100,0.4,0.3,0.5
llama31-8b,joint,niah_single,zh,none,1.0,100,0.98,0.95,1.0
llama31-8b,joint,niah_single,zh,snapkv,0.25,100,0.98,0.95,1.0
llama31-8b,joint,niah_single,zh,snapkv,0.5,100,0.98,0.95,1.0
llama31-8b,joint,niah_single,zh,streaming_llm,0.25,100,0.27,0.19,0.36
llama31-8b,joint,niah_single,zh,streaming_llm,0.5,100,0.43,0.33,0.53
llama31-8b,qa,niah_none,en,knorm,0.25,100,0.64,0.54,0.73
llama31-8b,qa,niah_none,en,knorm,0.5,100,0.72,0.63,0.81
llama31-8b,qa,niah_none,en,none,1.0,100,0.63,0.54,0.72
llama31-8b,qa,niah_none,en,snapkv,0.25,100,0.84,0.77,0.91
llama31-8b,qa,niah_none,en,snapkv,0.5,100,0.81,0.73,0.88
llama31-8b,qa,niah_none,en,streaming_llm,0.25,100,0.75,0.66,0.83
llama31-8b,qa,niah_none,en,streaming_llm,0.5,100,0.66,0.57,0.75
llama31-8b,qa,niah_none,ja,knorm,0.25,100,0.42,0.32,0.52
llama31-8b,qa,niah_none,ja,knorm,0.5,100,0.33,0.24,0.42
llama31-8b,qa,niah_none,ja,none,1.0,100,0.51,0.41,0.61
llama31-8b,qa,niah_none,ja,snapkv,0.25,100,0.5,0.41,0.6
llama31-8b,qa,niah_none,ja,snapkv,0.5,100,0.46,0.36,0.56
llama31-8b,qa,niah_none,ja,streaming_llm,0.25,100,0.87,0.8,0.93
llama31-8b,qa,niah_none,ja,streaming_llm,0.5,100,0.69,0.5998,0.78
llama31-8b,qa,niah_none,ko,knorm,0.25,100,0.34,0.25,0.43
llama31-8b,qa,niah_none,ko,knorm,0.5,100,0.71,0.62,0.8
llama31-8b,qa,niah_none,ko,none,1.0,100,0.83,0.7598,0.9
llama31-8b,qa,niah_none,ko,snapkv,0.25,100,0.32,0.23,0.41
llama31-8b,qa,niah_none,ko,snapkv,0.5,100,0.65,0.55,0.74
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,100,0.38,0.28,0.48
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,100,0.26,0.17,0.35
llama31-8b,qa,niah_none,pl,knorm,0.25,100,0.91,0.85,0.96
llama31-8b,qa,niah_none,pl,knorm,0.5,100,0.94,0.89,0.98
llama31-8b,qa,niah_none,pl,none,1.0,100,0.93,0.8798,0.98
llama31-8b,qa,niah_none,pl,snapkv,0.25,100,0.95,0.9,0.99
llama31-8b,qa,niah_none,pl,snapkv,0.5,100,0.97,0.93,1.0
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,100,0.39,0.3,0.48
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,100,0.69,0.6,0.78
llama31-8b,qa,niah_none,sw,knorm,0.25,100,0.0,0.0,0.0
llama31-8b,qa,niah_none,sw,knorm,0.5,100,0.05,0.01,0.1
llama31-8b,qa,niah_none,sw,none,1.0,100,0.21,0.13,0.29
llama31-8b,qa,niah_none,sw,snapkv,0.25,100,0.07,0.02,0.12
llama31-8b,qa,niah_none,sw,snapkv,0.5,100,0.13,0.07,0.2
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,100,0.06,0.02,0.11
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,100,0.02,0.0,0.05
llama31-8b,qa,niah_none,vi,knorm,0.25,100,0.17,0.1,0.24
llama31-8b,qa,niah_none,vi,knorm,0.5,100,0.46,0.36,0.56
llama31-8b,qa,niah_none,vi,none,1.0,100,0.63,0.53,0.72
llama31-8b,qa,niah_none,vi,snapkv,0.25,100,0.76,0.67,0.84
llama31-8b,qa,niah_none,vi,snapkv,0.5,100,0.59,0.49,0.69
llama31-8b,qa,niah_none,vi,streaming_llm,0.25,100,0.68,0.59,0.77
llama31-8b,qa,niah_none,vi,streaming_llm,0.5,100,0.74,0.66,0.82
llama31-8b,qa,niah_none,zh,knorm,0.25,100,0.38,0.29,0.47
llama31-8b,qa,niah_none,zh,knorm,0.5,100,0.18,0.11,0.26
llama31-8b,qa,niah_none,zh,none,1.0,100,0.24,0.16,0.33
llama31-8b,qa,niah_none,zh,snapkv,0.25,100,0.43,0.34,0.52
llama31-8b,qa,niah_none,zh,snapkv,0.5,100,0.17,0.1,0.24
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,100,0.64,0.54,0.73
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,100,0.29,0.2,0.38
llama31-8b,qa,niah_single,en,knorm,0.25,100,0.17,0.1,0.24
llama31-8b,qa,niah_single,en,knorm,0.5,100,0.72,0.63,0.81
llama31-8b,qa,niah_single,en,none,1.0,100,1.0,1.0,1.0
llama31-8b,qa,niah_single,en,snapkv,0.25,100,0.45,0.36,0.55
llama31-8b,qa,niah_single,en,snapkv,0.5,100,0.9,0.84,0.96
llama31-8b,qa,niah_single,en,streaming_llm,0.25,100,0.27,0.19,0.36
llama31-8b,qa,niah_single,en,streaming_llm,0.5,100,0.46,0.36,0.56
llama31-8b,qa,niah_single,ja,knorm,0.25,100,0.17,0.1,0.25
llama31-8b,qa,niah_single,ja,knorm,0.5,100,0.49,0.39,0.59
llama31-8b,qa,niah_single,ja,none,1.0,100,0.98,0.95,1.0
llama31-8b,qa,niah_single,ja,snapkv,0.25,100,0.21,0.13,0.29
llama31-8b,qa,niah_single,ja,snapkv,0.5,100,0.76,0.67,0.84
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,100,0.25,0.17,0.33
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,100,0.45,0.35,0.55
llama31-8b,qa,niah_single,ko,knorm,0.25,100,0.82,0.74,0.89
llama31-8b,qa,niah_single,ko,knorm,0.5,100,0.87,0.8,0.93
llama31-8b,qa,niah_single,ko,none,1.0,100,0.77,0.69,0.85
llama31-8b,qa,niah_single,ko,snapkv,0.25,100,0.62,0.52,0.72
llama31-8b,qa,niah_single,ko,snapkv,0.5,100,0.78,0.69,0.86
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,100,0.21,0.14,0.29
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,100,0.38,0.29,0.48
llama31-8b,qa,niah_single,pl,knorm,0.25,100,0.04,0.01,0.08
llama31-8b,qa,niah_single,pl,knorm,0.5,100,0.3,0.21,0.39
llama31-8b,qa,niah_single,pl,none,1.0,100,0.84,0.77,0.91
llama31-8b,qa,niah_single,pl,snapkv,0.25,100,0.0,0.0,0.0
