model,arm,task,press,kept,lang,bin,acc,n
llama31-8b,joint,niah_single,knorm,0.25,en,0-.25,0.2308,26
llama31-8b,joint,niah_single,knorm,0.25,en,.25-.5,0.0357,28
llama31-8b,joint,niah_single,knorm,0.25,en,.5-.75,0.1667,18
llama31-8b,joint,niah_single,knorm,0.25,en,.75-1,0.2143,28
llama31-8b,joint,niah_single,knorm,0.25,ja,0-.25,0.4074,27
llama31-8b,joint,niah_single,knorm,0.25,ja,.25-.5,0.1852,27
llama31-8b,joint,niah_single,knorm,0.25,ja,.5-.75,0.0,18
llama31-8b,joint,niah_single,knorm,0.25,ja,.75-1,0.0357,28
llama31-8b,joint,niah_single,knorm,0.25,ko,0-.25,0.6296,27
llama31-8b,joint,niah_single,knorm,0.25,ko,.25-.5,0.25,24
llama31-8b,joint,niah_single,knorm,0.25,ko,.5-.75,0.2857,21
llama31-8b,joint,niah_single,knorm,0.25,ko,.75-1,0.2143,28
llama31-8b,joint,niah_single,knorm,0.25,pl,0-.25,0.0625,32
llama31-8b,joint,niah_single,knorm,0.25,pl,.25-.5,0.0,22
llama31-8b,joint,niah_single,knorm,0.25,pl,.5-.75,0.0,18
llama31-8b,joint,niah_single,knorm,0.25,pl,.75-1,0.0357,28
llama31-8b,joint,niah_single,knorm,0.25,sw,0-.25,0.0938,32
llama31-8b,joint,niah_single,knorm,0.25,sw,.25-.5,0.0833,24
llama31-8b,joint,niah_single,knorm,0.25,sw,.5-.75,0.0625,16
llama31-8b,joint,niah_single,knorm,0.25,sw,.75-1,0.0357,28
llama31-8b,joint,niah_single,knorm,0.25,vi,0-.25,0.0385,26
llama31-8b,joint,niah_single,knorm,0.25,vi,.25-.5,0.0455,22
llama31-8b,joint,niah_single,knorm,0.25,vi,.5-.75,0.0,21
llama31-8b,joint,niah_single,knorm,0.25,vi,.75-1,0.0,31
llama31-8b,joint,niah_single,knorm,0.25,zh,0-.25,0.125,32
llama31-8b,joint,niah_single,knorm,0.25,zh,.25-.5,0.0417,24
llama31-8b,joint,niah_single,knorm,0.25,zh,.5-.75,0.0,16
llama31-8b,joint,niah_single,knorm,0.25,zh,.75-1,0.0357,28
llama31-8b,joint,niah_single,knorm,0.5,en,0-.25,0.6538,26
llama31-8b,joint,niah_single,knorm,0.5,en,.25-.5,0.7143,28
llama31-8b,joint,niah_single,knorm,0.5,en,.5-.75,0.7778,18
llama31-8b,joint,niah_single,knorm,0.5,en,.75-1,0.6786,28
llama31-8b,joint,niah_single,knorm,0.5,ja,0-.25,0.8519,27
llama31-8b,joint,niah_single,knorm,0.5,ja,.25-.5,0.5556,27
llama31-8b,joint,niah_single,knorm,0.5,ja,.5-.75,0.1111,18
llama31-8b,joint,niah_single,knorm,0.5,ja,.75-1,0.4286,28
llama31-8b,joint,niah_single,knorm,0.5,ko,0-.25,0.7407,27
llama31-8b,joint,niah_single,knorm,0.5,ko,.25-.5,0.5417,24
llama31-8b,joint,niah_single,knorm,0.5,ko,.5-.75,0.5238,21
