model,press,kept,lang,hit_rate,correct_rejection,naive_avg,youden_j,balanced_acc
llama31-8b,knorm,0.25,en,0.17,0.64,0.405,-0.19,0.405
llama31-8b,knorm,0.25,ja,0.17,0.42,0.295,-0.41,0.295
llama31-8b,knorm,0.25,ko,0.82,0.34,0.58,0.16,0.58
llama31-8b,knorm,0.25,pl,0.04,0.91,0.475,-0.05,0.475
llama31-8b,knorm,0.25,sw,0.06,0.0,0.03,-0.94,0.03
llama31-8b,knorm,0.25,vi,0.14,0.17,0.155,-0.69,0.155
llama31-8b,knorm,0.25,zh,0.05,0.38,0.215,-0.57,0.215
llama31-8b,knorm,0.5,en,0.72,0.72,0.72,0.44,0.72
llama31-8b,knorm,0.5,ja,0.49,0.33,0.41,-0.18,0.41
llama31-8b,knorm,0.5,ko,0.87,0.71,0.79,0.58,0.79
llama31-8b,knorm,0.5,pl,0.3,0.94,0.62,0.24,0.62
llama31-8b,knorm,0.5,sw,0.68,0.05,0.365,-0.27,0.365
llama31-8b,knorm,0.5,vi,0.79,0.46,0.625,0.25,0.625
llama31-8b,knorm,0.5,zh,0.36,0.18,0.27,-0.46,0.27
llama31-8b,none,1.0,en,1.0,0.63,0.815,0.63,0.815
llama31-8b,none,1.0,ja,0.98,0.51,0.745,0.49,0.745
llama31-8b,none,1.0,ko,0.77,0.83,0.8,0.6,0.8
llama31-8b,none,1.0,pl,0.84,0.93,0.885,0.77,0.885
llama31-8b,none,1.0,sw,0.92,0.21,0.565,0.13,0.565
llama31-8b,none,1.0,vi,0.9,0.63,0.765,0.53,0.765
llama31-8b,none,1.0,zh,0.98,0.24,0.61,0.22,0.61
llama31-8b,snapkv,0.25,en,0.45,0.84,0.645,0.29,0.645
llama31-8b,snapkv,0.25,ja,0.21,0.5,0.355,-0.29,0.355
llama31-8b,snapkv,0.25,ko,0.62,0.32,0.47,-0.06,0.47
llama31-8b,snapkv,0.25,pl,0.0,0.95,0.475,-0.05,0.475
llama31-8b,snapkv,0.25,sw,0.9,0.07,0.485,-0.03,0.485
llama31-8b,snapkv,0.25,vi,0.03,0.76,0.395,-0.21,0.395
llama31-8b,snapkv,0.25,zh,0.24,0.43,0.335,-0.33,0.335
llama31-8b,snapkv,0.5,en,0.9,0.81,0.855,0.71,0.855
llama31-8b,snapkv,0.5,ja,0.76,0.46,0.61,0.22,0.61
llama31-8b,snapkv,0.5,ko,0.78,0.65,0.715,0.43,0.715
llama31-8b,snapkv,0.5,pl,0.3,0.97,0.635,0.27,0.635
llama31-8b,snapkv,0.5,sw,0.91,0.13,0.52,0.04,0.52
llama31-8b,snapkv,0.5,vi,0.14,0.59,0.365,-0.27,0.365
llama31-8b,snapkv,0.5,zh,0.63,0.17,0.4,-0.2,0.4
llama31-8b,streaming_llm,0.25,en,0.27,0.75,0.51,0.02,0.51
llama31-8b,streaming_llm,0.25,ja,0.25,0.87,0.56,0.12,0.56
llama31-8b,streaming_llm,0.25,ko,0.21,0.38,0.295,-0.41,0.295
llama31-8b,streaming_llm,0.25,pl,0.28,0.39,0.335,-0.33,0.335
llama31-8b,streaming_llm,0.25,sw,0.27,0.06,0.165,-0.67,0.165
llama31-8b,streaming_llm,0.25,vi,0.19,0.68,0.435,-0.13,0.435
llama31-8b,streaming_llm,0.25,zh,0.27,0.64,0.455,-0.09,0.455
llama31-8b,streaming_llm,0.5,en,0.46,0.66,0.56,0.12,0.56
llama31-8b,streaming_llm,0.5,ja,0.45,0.69,0.57,0.14,0.57
llama31-8b,streaming_llm,0.5,ko,0.38,0.26,0.32,-0.36,0.32
llama31-8b,streaming_llm,0.5,pl,0.49,0.69,0.59,0.18,0.59
llama31-8b,streaming_llm,0.5,sw,0.43,0.02,0.225,-0.55,0.225
llama31-8b,streaming_llm,0.5,vi,0.4,0.74,0.57,0.14,0.57
llama31-8b,streaming_llm,0.5,zh,0.43,0.29,0.36,-0.28,0.36
qwen25-7b-1m,knorm,0.25,en,0.02,0.98,0.5,0.0,0.5
qwen25-7b-1m,knorm,0.25,ja,0.03,0.93,0.48,-0.04,0.48
qwen25-7b-1m,knorm,0.25,ko,0.04,0.76,0.4,-0.2,0.4
qwen25-7b-1m,knorm,0.25,pl,0.01,1.0,0.505,0.01,0.505
qwen25-7b-1m,knorm,0.25,sw,0.0,0.9,0.45,-0.1,0.45
qwen25-7b-1m,knorm,0.25,vi,0.02,0.95,0.485,-0.03,0.485
qwen25-7b-1m,knorm,0.25,zh,0.0,1.0,0.5,0.0,0.5
qwen25-7b-1m,knorm,0.5,en,0.04,0.99,0.515,0.03,0.515
qwen25-7b-1m,knorm,0.5,ja,0.07,0.93,0.5,0.0,0.5
qwen25-7b-1m,knorm,0.5,ko,0.64,0.55,0.595,0.19,0.595
qwen25-7b-1m,knorm,0.5,pl,0.19,1.0,0.595,0.19,0.595
qwen25-7b-1m,knorm,0.5,sw,0.0,0.83,0.415,-0.17,0.415
qwen25-7b-1m,knorm,0.5,vi,0.11,0.9,0.505,0.01,0.505
qwen25-7b-1m,knorm,0.5,zh,0.06,0.99,0.525,0.05,0.525
qwen25-7b-1m,none,1.0,en,0.98,0.96,0.97,0.94,0.97
qwen25-7b-1m,none,1.0,ja,0.96,0.75,0.855,0.71,0.855
qwen25-7b-1m,none,1.0,ko,1.0,0.37,0.685,0.37,0.685
qwen25-7b-1m,none,1.0,pl,0.99,1.0,0.995,0.99,0.995
qwen25-7b-1m,none,1.0,sw,0.48,0.58,0.53,0.06,0.53
qwen25-7b-1m,none,1.0,vi,0.96,0.9,0.93,0.86,0.93
qwen25-7b-1m,none,1.0,zh,0.98,0.94,0.96,0.92,0.96
qwen25-7b-1m,snapkv,0.25,en,0.07,0.97,0.52,0.04,0.52
qwen25-7b-1m,snapkv,0.25,ja,0.06,0.92,0.49,-0.02,0.49
qwen25-7b-1m,snapkv,0.25,ko,0.73,0.62,0.675,0.35,0.675
