model,arm,task,press,kept,k_langs,mean_acc,raw_spread,X2,phi,phi_ci_low,phi_ci_high
llama31-8b,joint,niah_single,knorm,0.25,7,0.1229,0.33,75.3,12.55,7.99,20.05
llama31-8b,joint,niah_single,knorm,0.5,7,0.49,0.36,43.8,7.3,4.45,12.86
llama31-8b,joint,niah_single,none,1.0,7,0.9157,0.23,54.9,9.15,5.76,15.38
llama31-8b,joint,niah_single,snapkv,0.25,7,0.9129,0.25,63.3,10.55,6.86,17.18
llama31-8b,joint,niah_single,snapkv,0.5,7,0.9143,0.24,60.2,10.03,6.43,16.37
llama31-8b,joint,niah_single,streaming_llm,0.25,7,0.23,0.15,13.6,2.26,1.29,5.92
llama31-8b,joint,niah_single,streaming_llm,0.5,7,0.4071,0.14,8.1,1.35,0.68,4.85
llama31-8b,qa,niah_none,knorm,0.25,7,0.4086,0.91,221.2,36.87,32.45,42.99
llama31-8b,qa,niah_none,knorm,0.5,7,0.4843,0.89,248.2,41.36,35.63,48.67
llama31-8b,qa,niah_none,none,1.0,7,0.5686,0.72,182.0,30.34,24.81,37.68
llama31-8b,qa,niah_none,snapkv,0.25,7,0.5529,0.88,238.0,39.67,34.17,46.52
llama31-8b,qa,niah_none,snapkv,0.5,7,0.54,0.84,235.0,39.17,33.66,46.39
llama31-8b,qa,niah_none,streaming_llm,0.25,7,0.5386,0.81,185.5,30.92,25.8,38.04
llama31-8b,qa,niah_none,streaming_llm,0.5,7,0.4786,0.72,194.1,32.35,27.09,39.77
llama31-8b,qa,niah_single,knorm,0.25,7,0.2071,0.78,278.3,46.39,37.97,56.47
llama31-8b,qa,niah_single,knorm,0.5,7,0.6014,0.57,120.8,20.13,14.9,27.5
llama31-8b,qa,niah_single,none,1.0,7,0.9129,0.23,53.5,8.91,5.81,14.8
llama31-8b,qa,niah_single,snapkv,0.25,7,0.35,0.9,282.2,47.03,41.41,54.18
llama31-8b,qa,niah_single,snapkv,0.5,7,0.6314,0.77,231.9,38.65,32.32,46.86
llama31-8b,qa,niah_single,streaming_llm,0.25,7,0.2486,0.09,3.9,0.65,0.39,3.52
llama31-8b,qa,niah_single,streaming_llm,0.5,7,0.4343,0.11,3.3,0.55,0.36,3.39
qwen25-7b-1m,joint,niah_single,knorm,0.25,7,0.0129,0.05,13.7,2.29,0.84,7.08
qwen25-7b-1m,joint,niah_single,knorm,0.5,7,0.1643,0.56,185.0,30.83,22.41,41.95
qwen25-7b-1m,joint,niah_single,none,1.0,7,0.9114,0.44,187.2,31.19,21.19,42.59
qwen25-7b-1m,joint,niah_single,snapkv,0.25,7,0.9029,0.52,243.0,40.5,29.4,52.64
qwen25-7b-1m,joint,niah_single,snapkv,0.5,7,0.9214,0.41,179.4,29.9,19.6,41.84
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,7,0.2543,0.14,8.4,1.4,0.77,4.54
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,7,0.4343,0.24,17.9,2.98,1.57,6.88
qwen25-7b-1m,qa,niah_none,knorm,0.25,7,0.9314,0.24,66.5,11.09,6.55,18.99
qwen25-7b-1m,qa,niah_none,knorm,0.5,7,0.8843,0.45,149.3,24.88,17.84,35.09
qwen25-7b-1m,qa,niah_none,none,1.0,7,0.7857,0.63,195.7,32.62,26.26,41.25
qwen25-7b-1m,qa,niah_none,snapkv,0.25,7,0.9186,0.38,144.8,24.13,15.82,35.21
qwen25-7b-1m,qa,niah_none,snapkv,0.5,7,0.8743,0.45,126.4,21.07,14.2,30.73
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,7,0.8943,0.43,167.5,27.92,20.41,37.8
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,7,0.83,0.59,240.3,40.04,31.93,49.44
qwen25-7b-1m,qa,niah_single,knorm,0.25,7,0.0171,0.04,8.0,1.33,0.91,4.59
qwen25-7b-1m,qa,niah_single,knorm,0.5,7,0.1586,0.64,218.8,36.46,27.39,47.87
qwen25-7b-1m,qa,niah_single,none,1.0,7,0.9071,0.52,254.2,42.37,30.88,55.15
qwen25-7b-1m,qa,niah_single,snapkv,0.25,7,0.1557,0.73,298.0,49.67,39.18,61.64
qwen25-7b-1m,qa,niah_single,snapkv,0.5,7,0.3657,0.88,211.1,35.18,30.5,41.17
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,7,0.2471,0.22,19.9,3.31,2.27,6.56
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,7,0.4171,0.39,46.7,7.78,5.71,11.96
