model,lang,press,kept,frac_from_haystack,n_wrong_number
llama31-8b,en,knorm,0.25,0.012658227848101266,158
llama31-8b,en,knorm,0.5,0.0,57
llama31-8b,en,snapkv,0.25,0.1111111111111111,18
llama31-8b,en,snapkv,0.5,0.0,5
llama31-8b,en,streaming_llm,0.25,0.0,64
llama31-8b,en,streaming_llm,0.5,0.0,50
llama31-8b,ja,knorm,0.25,0.0,141
llama31-8b,ja,knorm,0.5,0.011363636363636364,88
llama31-8b,ja,snapkv,0.25,0.0,55
llama31-8b,ja,snapkv,0.5,0.0,17
llama31-8b,ja,streaming_llm,0.25,0.0,64
llama31-8b,ja,streaming_llm,0.5,0.0,52
llama31-8b,ko,knorm,0.25,0.0,5
llama31-8b,ko,knorm,0.5,0.0,2
llama31-8b,ko,none,1.0,0.5,4
llama31-8b,ko,snapkv,0.25,0.09090909090909091,11
llama31-8b,ko,snapkv,0.5,0.0,9
llama31-8b,ko,streaming_llm,0.25,0.0,25
llama31-8b,ko,streaming_llm,0.5,0.0,20
llama31-8b,pl,knorm,0.25,0.01098901098901099,91
llama31-8b,pl,knorm,0.5,0.0,85
llama31-8b,pl,snapkv,0.25,0.45,20
llama31-8b,pl,snapkv,0.5,0.058823529411764705,17
llama31-8b,pl,streaming_llm,0.25,0.5,54
llama31-8b,pl,streaming_llm,0.5,0.75,80
llama31-8b,sw,knorm,0.25,0.4873417721518987,158
llama31-8b,sw,knorm,0.5,0.14,50
llama31-8b,sw,none,1.0,1.0,12
llama31-8b,sw,snapkv,0.25,1.0,11
llama31-8b,sw,snapkv,0.5,1.0,13
llama31-8b,sw,streaming_llm,0.25,1.0,70
llama31-8b,sw,streaming_llm,0.5,1.0,50
llama31-8b,vi,knorm,0.25,0.14432989690721648,97
llama31-8b,vi,knorm,0.5,0.030303030303030304,33
llama31-8b,vi,snapkv,0.25,0.8823529411764706,17
llama31-8b,vi,snapkv,0.5,0.375,24
llama31-8b,vi,streaming_llm,0.25,0.7866666666666666,75
llama31-8b,vi,streaming_llm,0.5,0.7948717948717948,39
llama31-8b,zh,knorm,0.25,0.013422818791946308,149
llama31-8b,zh,knorm,0.5,0.0,115
llama31-8b,zh,snapkv,0.25,0.08333333333333333,12
llama31-8b,zh,snapkv,0.5,0.09523809523809523,21
llama31-8b,zh,streaming_llm,0.25,0.2222222222222222,27
llama31-8b,zh,streaming_llm,0.5,0.625,16
qwen25-7b-1m,en,knorm,0.25,0.0,155
qwen25-7b-1m,en,knorm,0.5,0.0,158
qwen25-7b-1m,en,snapkv,0.25,0.0,74
qwen25-7b-1m,en,snapkv,0.5,0.0,60
qwen25-7b-1m,en,streaming_llm,0.25,0.0,62
qwen25-7b-1m,en,streaming_llm,0.5,0.0,42
qwen25-7b-1m,ja,knorm,0.25,0.0,99
qwen25-7b-1m,ja,knorm,0.5,0.0,174
qwen25-7b-1m,ja,snapkv,0.25,0.0,56
qwen25-7b-1m,ja,snapkv,0.5,0.0,68
qwen25-7b-1m,ja,streaming_llm,0.25,0.0,60
qwen25-7b-1m,ja,streaming_llm,0.5,0.0,37
qwen25-7b-1m,ko,knorm,0.25,0.0,179
qwen25-7b-1m,ko,knorm,0.5,0.0,73
qwen25-7b-1m,ko,snapkv,0.25,0.0,20
qwen25-7b-1m,ko,snapkv,0.5,0.0,5
qwen25-7b-1m,ko,streaming_llm,0.25,0.0,56
qwen25-7b-1m,ko,streaming_llm,0.5,0.0,36
qwen25-7b-1m,pl,knorm,0.25,0.0,110
qwen25-7b-1m,pl,knorm,0.5,0.0,164
qwen25-7b-1m,pl,snapkv,0.25,0.0,27
qwen25-7b-1m,pl,snapkv,0.5,0.0,37
qwen25-7b-1m,pl,streaming_llm,0.25,0.3230769230769231,65
qwen25-7b-1m,pl,streaming_llm,0.5,0.36585365853658536,41
qwen25-7b-1m,sw,knorm,0.25,0.12727272727272726,55
qwen25-7b-1m,sw,knorm,0.5,0.1,80
qwen25-7b-1m,sw,snapkv,0.25,0.0,6
qwen25-7b-1m,sw,snapkv,0.5,0.0,1
qwen25-7b-1m,sw,streaming_llm,0.25,1.0,1
qwen25-7b-1m,sw,streaming_llm,0.5,1.0,2
qwen25-7b-1m,vi,knorm,0.25,0.006329113924050633,158
qwen25-7b-1m,vi,knorm,0.5,0.0,173
qwen25-7b-1m,vi,snapkv,0.25,0.1,20
qwen25-7b-1m,vi,snapkv,0.5,0.06060606060606061,66
qwen25-7b-1m,vi,streaming_llm,0.25,0.5714285714285714,49
qwen25-7b-1m,vi,streaming_llm,0.5,0.6764705882352942,34
qwen25-7b-1m,zh,knorm,0.25,0.043010752688172046,93
qwen25-7b-1m,zh,knorm,0.5,0.0273972602739726,146
qwen25-7b-1m,zh,snapkv,0.25,0.025,40
qwen25-7b-1m,zh,snapkv,0.5,0.0392156862745098,51
qwen25-7b-1m,zh,streaming_llm,0.25,0.05263157894736842,19
qwen25-7b-1m,zh,streaming_llm,0.5,0.08333333333333333,12
