model,arm,task,lang,press,kept,mode,n,rate
llama31-8b,joint,niah_single,en,knorm,0.25,correct,16,0.16
llama31-8b,joint,niah_single,en,knorm,0.25,false_absence,3,0.03
llama31-8b,joint,niah_single,en,knorm,0.25,wrong_number,81,0.81
llama31-8b,joint,niah_single,en,knorm,0.5,correct,70,0.7
llama31-8b,joint,niah_single,en,knorm,0.5,false_absence,1,0.01
llama31-8b,joint,niah_single,en,knorm,0.5,wrong_number,29,0.29
llama31-8b,joint,niah_single,en,none,1.0,correct,100,1.0
llama31-8b,joint,niah_single,en,snapkv,0.25,correct,100,1.0
llama31-8b,joint,niah_single,en,snapkv,0.5,correct,100,1.0
llama31-8b,joint,niah_single,en,streaming_llm,0.25,correct,28,0.28
llama31-8b,joint,niah_single,en,streaming_llm,0.25,false_absence,11,0.11
llama31-8b,joint,niah_single,en,streaming_llm,0.25,other,13,0.13
llama31-8b,joint,niah_single,en,streaming_llm,0.25,wrong_number,48,0.48
llama31-8b,joint,niah_single,en,streaming_llm,0.5,correct,46,0.46
llama31-8b,joint,niah_single,en,streaming_llm,0.5,false_absence,10,0.1
llama31-8b,joint,niah_single,en,streaming_llm,0.5,other,12,0.12
llama31-8b,joint,niah_single,en,streaming_llm,0.5,wrong_number,32,0.32
llama31-8b,joint,niah_single,ja,knorm,0.25,correct,17,0.17
llama31-8b,joint,niah_single,ja,knorm,0.25,false_absence,7,0.07
llama31-8b,joint,niah_single,ja,knorm,0.25,other,1,0.01
llama31-8b,joint,niah_single,ja,knorm,0.25,wrong_number,75,0.75
llama31-8b,joint,niah_single,ja,knorm,0.5,correct,52,0.52
llama31-8b,joint,niah_single,ja,knorm,0.5,false_absence,3,0.03
llama31-8b,joint,niah_single,ja,knorm,0.5,wrong_number,45,0.45
llama31-8b,joint,niah_single,ja,none,1.0,correct,98,0.98
llama31-8b,joint,niah_single,ja,none,1.0,false_absence,2,0.02
llama31-8b,joint,niah_single,ja,snapkv,0.25,correct,98,0.98
llama31-8b,joint,niah_single,ja,snapkv,0.25,false_absence,2,0.02
llama31-8b,joint,niah_single,ja,snapkv,0.5,correct,98,0.98
llama31-8b,joint,niah_single,ja,snapkv,0.5,false_absence,2,0.02
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,correct,26,0.26
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,false_absence,9,0.09
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,other,3,0.03
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,wrong_number,62,0.62
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,correct,44,0.44
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,false_absence,7,0.07
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,other,2,0.02
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,wrong_number,47,0.47
llama31-8b,joint,niah_single,ko,knorm,0.25,correct,35,0.35
llama31-8b,joint,niah_single,ko,knorm,0.25,false_absence,63,0.63
llama31-8b,joint,niah_single,ko,knorm,0.25,wrong_number,2,0.02
llama31-8b,joint,niah_single,ko,knorm,0.5,correct,49,0.49
llama31-8b,joint,niah_single,ko,knorm,0.5,false_absence,50,0.5
llama31-8b,joint,niah_single,ko,knorm,0.5,wrong_number,1,0.01
llama31-8b,joint,niah_single,ko,none,1.0,correct,77,0.77
llama31-8b,joint,niah_single,ko,none,1.0,false_absence,21,0.21
llama31-8b,joint,niah_single,ko,none,1.0,wrong_number,2,0.02
llama31-8b,joint,niah_single,ko,snapkv,0.25,correct,75,0.75
llama31-8b,joint,niah_single,ko,snapkv,0.25,false_absence,21,0.21
llama31-8b,joint,niah_single,ko,snapkv,0.25,wrong_number,4,0.04
llama31-8b,joint,niah_single,ko,snapkv,0.5,correct,76,0.76
llama31-8b,joint,niah_single,ko,snapkv,0.5,false_absence,21,0.21
llama31-8b,joint,niah_single,ko,snapkv,0.5,wrong_number,3,0.03
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,correct,15,0.15
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,false_absence,79,0.79
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,other,2,0.02
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,wrong_number,4,0.04
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,correct,32,0.32
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,false_absence,59,0.59
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,other,3,0.03
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,wrong_number,6,0.06
llama31-8b,joint,niah_single,pl,knorm,0.25,correct,3,0.03
llama31-8b,joint,niah_single,pl,knorm,0.25,false_absence,57,0.57
llama31-8b,joint,niah_single,pl,knorm,0.25,other,1,0.01
llama31-8b,joint,niah_single,pl,knorm,0.25,wrong_number,39,0.39
llama31-8b,joint,niah_single,pl,knorm,0.5,correct,34,0.34
llama31-8b,joint,niah_single,pl,knorm,0.5,false_absence,26,0.26
llama31-8b,joint,niah_single,pl,knorm,0.5,wrong_number,40,0.4
llama31-8b,joint,niah_single,pl,none,1.0,correct,84,0.84
llama31-8b,joint,niah_single,pl,none,1.0,false_absence,16,0.16
llama31-8b,joint,niah_single,pl,snapkv,0.25,correct,83,0.83
llama31-8b,joint,niah_single,pl,snapkv,0.25,false_absence,17,0.17
llama31-8b,joint,niah_single,pl,snapkv,0.5,correct,83,0.83
llama31-8b,joint,niah_single,pl,snapkv,0.5,false_absence,17,0.17
llama31-8b,joint,niah_single,pl,streaming_llm,0.25,correct,13,0.13
llama31-8b,joint,niah_single,pl,streaming_llm,0.25,false_absence,41,0.41
llama31-8b,joint,niah_single,pl,streaming_llm,0.25,other,12,0.12
llama31-8b,joint,niah_single,pl,streaming_llm,0.25,wrong_number,34,0.34
