model,arm,task,press,kept,outcome,fertility_col,k_langs,rho,exact_p,leave_one_out,q_bh,sig_bh
llama31-8b,joint,niah_single,knorm,0.25,accuracy,tokens_per_byte_eval,7,0.0,1.0,"{""en"": 0.086, ""ja"": 0.086, ""ko"": 0.086, ""pl"": 0.143, ""sw"": 0.086, ""vi"": -0.6, ""zh"": 0.143}",1.0,False
llama31-8b,joint,niah_single,knorm,0.25,retention,tokens_per_byte_eval,7,0.0,1.0,"{""en"": 0.086, ""ja"": 0.086, ""ko"": 0.086, ""pl"": 0.143, ""sw"": 0.086, ""vi"": -0.6, ""zh"": 0.143}",1.0,False
llama31-8b,joint,niah_single,knorm,0.5,accuracy,tokens_per_byte_eval,7,-0.0714,0.9063,"{""en"": 0.2, ""ja"": -0.029, ""ko"": -0.029, ""pl"": 0.2, ""sw"": -0.429, ""vi"": -0.429, ""zh"": -0.029}",0.945704347826087,False
llama31-8b,joint,niah_single,knorm,0.5,retention,tokens_per_byte_eval,7,0.1429,0.7825,"{""en"": 0.486, ""ja"": 0.2, ""ko"": 0.2, ""pl"": 0.257, ""sw"": -0.086, ""vi"": -0.371, ""zh"": 0.257}",0.939,False
llama31-8b,joint,niah_single,snapkv,0.25,accuracy,tokens_per_byte_eval,7,-0.4685,0.2897,"{""en"": -0.319, ""ja"": -0.371, ""ko"": -0.58, ""pl"": -0.377, ""sw"": -0.377, ""vi"": -0.551, ""zh"": -0.6}",0.7725333333333333,False
llama31-8b,joint,niah_single,snapkv,0.25,retention,tokens_per_byte_eval,7,-0.4926,0.2857,"{""en"": -0.395, ""ja"": -0.395, ""ko"": -0.676, ""pl"": -0.507, ""sw"": -0.698, ""vi"": -0.135, ""zh"": -0.577}",0.7725333333333333,False
llama31-8b,joint,niah_single,snapkv,0.5,accuracy,tokens_per_byte_eval,7,-0.4685,0.2897,"{""en"": -0.319, ""ja"": -0.371, ""ko"": -0.58, ""pl"": -0.377, ""sw"": -0.377, ""vi"": -0.551, ""zh"": -0.6}",0.7725333333333333,False
llama31-8b,joint,niah_single,snapkv,0.5,retention,tokens_per_byte_eval,7,-0.4926,0.2857,"{""en"": -0.395, ""ja"": -0.395, ""ko"": -0.676, ""pl"": -0.507, ""sw"": -0.698, ""vi"": -0.135, ""zh"": -0.577}",0.7725333333333333,False
llama31-8b,joint,niah_single,streaming_llm,0.25,accuracy,tokens_per_byte_eval,7,0.018,0.9881,"{""en"": 0.257, ""ja"": 0.029, ""ko"": 0.145, ""pl"": 0.319, ""sw"": -0.429, ""vi"": -0.116, ""zh"": -0.087}",1.0,False
llama31-8b,joint,niah_single,streaming_llm,0.25,retention,tokens_per_byte_eval,7,0.1071,0.8397,"{""en"": 0.257, ""ja"": 0.143, ""ko"": 0.257, ""pl"": 0.429, ""sw"": -0.429, ""vi"": 0.029, ""zh"": 0.029}",0.945704347826087,False
llama31-8b,joint,niah_single,streaming_llm,0.5,accuracy,tokens_per_byte_eval,7,-0.6547,0.1254,"{""en"": -0.53, ""ja"": -0.493, ""ko"": -0.794, ""pl"": -0.706, ""sw"": -0.725, ""vi"": -0.551, ""zh"": -0.667}",0.7725333333333333,False
