contrast,arm,task,press,kept,k_langs,langs,rho,exact_p,rho_boot_lo,rho_boot_hi,frac_boot_below_crit,rho_floor_gated,p_floor_gated,k_floor_gated,leave_one_out,model,note,q_bh
cross_model,joint,niah_single,knorm,0.25,7,"en,ja,ko,pl,sw,vi,zh",0.7769,0.0571,0.112,0.926,0.745,0.7715,0.1,6.0,"{""en"": 0.772, ""ja"": 0.772, ""ko"": 0.621, ""pl"": 0.926, ""sw"": 0.772, ""vi"": 0.676, ""zh"": 0.845}",,,0.25695
cross_model,joint,niah_single,knorm,0.5,7,"en,ja,ko,pl,sw,vi,zh",0.0546,0.9238,-0.609,0.649,0.995,0.1739,0.7556,6.0,"{""en"": 0.058, ""ja"": 0.174, ""ko"": 0.147, ""pl"": -0.53, ""sw"": 0.174, ""vi"": 0.235, ""zh"": 0.116}",,,0.9238
cross_model,joint,niah_single,snapkv,0.25,7,"en,ja,ko,pl,sw,vi,zh",-0.3762,0.4103,-0.655,-0.108,1.0,-0.5822,0.2333,6.0,"{""en"": -0.529, ""ja"": -0.441, ""ko"": -0.015, ""pl"": -0.015, ""sw"": -0.582, ""vi"": -0.493, ""zh"": -0.464}",,,0.6889846153846153
cross_model,joint,niah_single,snapkv,0.5,7,"en,ja,ko,pl,sw,vi,zh",-0.3545,0.4302,-0.636,0.138,1.0,-0.5441,0.2611,6.0,"{""en"": -0.493, ""ja"": -0.406, ""ko"": -0.015, ""pl"": -0.015, ""sw"": -0.544, ""vi"": -0.456, ""zh"": -0.429}",,,0.6889846153846153
cross_model,joint,niah_single,streaming_llm,0.25,7,"en,ja,ko,pl,sw,vi,zh",-0.835,0.0333,-0.716,0.703,0.985,-0.7775,0.1333,6.0,"{""en"": -0.845, ""ja"": -0.832, ""ko"": -0.832, ""pl"": -0.832, ""sw"": -0.778, ""vi"": -0.832, ""zh"": -0.823}",,,0.25695
cross_model,joint,niah_single,streaming_llm,0.5,7,"en,ja,ko,pl,sw,vi,zh",-0.2572,0.569,-0.667,0.667,0.992,-0.4227,0.35,6.0,"{""en"": -0.25, ""ja"": -0.308, ""ko"": 0.061, ""pl"": 0.061, ""sw"": -0.423, ""vi"": -0.478, ""zh"": -0.423}",,,0.7137600000000001
cross_model,qa,niah_none,knorm,0.25,7,"en,ja,ko,pl,sw,vi,zh",0.6307,0.1437,0.282,0.823,0.881,,,3.0,"{""en"": 0.551, ""ja"": 0.725, ""ko"": 0.638, ""pl"": 0.486, ""sw"": 0.522, ""vi"": 0.696, ""zh"": 0.714}",,,0.5001
cross_model,qa,niah_none,knorm,0.5,7,"en,ja,ko,pl,sw,vi,zh",0.4324,0.327,0.126,0.523,1.0,,,3.0,"{""en"": 0.2, ""ja"": 0.522, ""ko"": 0.696, ""pl"": 0.087, ""sw"": 0.319, ""vi"": 0.522, ""zh"": 0.6}",,,0.6889846153846153
cross_model,qa,niah_none,snapkv,0.25,7,"en,ja,ko,pl,sw,vi,zh",0.6071,0.1667,0.252,0.873,0.826,,,3.0,"{""en"": 0.6, ""ja"": 0.714, ""ko"": 0.486, ""pl"": 0.371, ""sw"": 0.6, ""vi"": 0.6, ""zh"": 0.771}",,,0.5001
cross_model,qa,niah_none,snapkv,0.5,7,"en,ja,ko,pl,sw,vi,zh",0.3214,0.4976,0.143,0.577,1.0,,,3.0,"{""en"": 0.143, ""ja"": 0.429, ""ko"": 0.543, ""pl"": -0.086, ""sw"": 0.257, ""vi"": 0.314, ""zh"": 0.6}",,,0.6889846153846153
