model,arm,task,kept,lang,predicted,observed,abs_err
llama31-8b,joint,niah_single,0.25,en,0.25,0.28,0.03
llama31-8b,joint,niah_single,0.25,ja,0.245,0.26,0.015
llama31-8b,joint,niah_single,0.25,ko,0.1925,0.15,0.0425
llama31-8b,joint,niah_single,0.25,pl,0.21,0.13,0.08
llama31-8b,joint,niah_single,0.25,sw,0.23,0.28,0.05
llama31-8b,joint,niah_single,0.25,vi,0.23,0.24,0.01
llama31-8b,joint,niah_single,0.25,zh,0.245,0.27,0.025
llama31-8b,joint,niah_single,0.5,en,0.5,0.46,0.04
llama31-8b,joint,niah_single,0.5,ja,0.49,0.44,0.05
llama31-8b,joint,niah_single,0.5,ko,0.385,0.32,0.065
llama31-8b,joint,niah_single,0.5,pl,0.42,0.33,0.09
llama31-8b,joint,niah_single,0.5,sw,0.46,0.43,0.03
llama31-8b,joint,niah_single,0.5,vi,0.46,0.44,0.02
llama31-8b,joint,niah_single,0.5,zh,0.49,0.43,0.06
llama31-8b,qa,niah_single,0.25,en,0.25,0.27,0.02
llama31-8b,qa,niah_single,0.25,ja,0.245,0.25,0.005
llama31-8b,qa,niah_single,0.25,ko,0.1925,0.21,0.0175
llama31-8b,qa,niah_single,0.25,pl,0.21,0.28,0.07
llama31-8b,qa,niah_single,0.25,sw,0.23,0.27,0.04
llama31-8b,qa,niah_single,0.25,vi,0.225,0.19,0.035
llama31-8b,qa,niah_single,0.25,zh,0.245,0.27,0.025
llama31-8b,qa,niah_single,0.5,en,0.5,0.46,0.04
llama31-8b,qa,niah_single,0.5,ja,0.49,0.45,0.04
llama31-8b,qa,niah_single,0.5,ko,0.385,0.38,0.005
llama31-8b,qa,niah_single,0.5,pl,0.42,0.49,0.07
llama31-8b,qa,niah_single,0.5,sw,0.46,0.43,0.03
llama31-8b,qa,niah_single,0.5,vi,0.45,0.4,0.05
llama31-8b,qa,niah_single,0.5,zh,0.49,0.43,0.06
qwen25-7b-1m,joint,niah_single,0.25,en,0.245,0.27,0.025
qwen25-7b-1m,joint,niah_single,0.25,ja,0.225,0.28,0.055
qwen25-7b-1m,joint,niah_single,0.25,ko,0.25,0.28,0.03
qwen25-7b-1m,joint,niah_single,0.25,pl,0.25,0.28,0.03
qwen25-7b-1m,joint,niah_single,0.25,sw,0.14,0.14,0.0
qwen25-7b-1m,joint,niah_single,0.25,vi,0.24,0.28,0.04
qwen25-7b-1m,joint,niah_single,0.25,zh,0.245,0.25,0.005
qwen25-7b-1m,joint,niah_single,0.5,en,0.49,0.45,0.04
qwen25-7b-1m,joint,niah_single,0.5,ja,0.45,0.45,0.0
qwen25-7b-1m,joint,niah_single,0.5,ko,0.5,0.49,0.01
qwen25-7b-1m,joint,niah_single,0.5,pl,0.5,0.49,0.01
qwen25-7b-1m,joint,niah_single,0.5,sw,0.28,0.25,0.03
qwen25-7b-1m,joint,niah_single,0.5,vi,0.48,0.49,0.01
qwen25-7b-1m,joint,niah_single,0.5,zh,0.49,0.42,0.07
qwen25-7b-1m,qa,niah_single,0.25,en,0.245,0.27,0.025
qwen25-7b-1m,qa,niah_single,0.25,ja,0.24,0.28,0.04
qwen25-7b-1m,qa,niah_single,0.25,ko,0.25,0.27,0.02
qwen25-7b-1m,qa,niah_single,0.25,pl,0.2475,0.28,0.0325
qwen25-7b-1m,qa,niah_single,0.25,sw,0.12,0.07,0.05
qwen25-7b-1m,qa,niah_single,0.25,vi,0.24,0.29,0.05
qwen25-7b-1m,qa,niah_single,0.25,zh,0.245,0.27,0.025
qwen25-7b-1m,qa,niah_single,0.5,en,0.49,0.45,0.04
qwen25-7b-1m,qa,niah_single,0.5,ja,0.48,0.46,0.02
qwen25-7b-1m,qa,niah_single,0.5,ko,0.5,0.48,0.02
qwen25-7b-1m,qa,niah_single,0.5,pl,0.495,0.49,0.005
qwen25-7b-1m,qa,niah_single,0.5,sw,0.24,0.11,0.13
qwen25-7b-1m,qa,niah_single,0.5,vi,0.48,0.5,0.02
qwen25-7b-1m,qa,niah_single,0.5,zh,0.49,0.43,0.06
