model,arm,task,press,kept,n_trials,correct,answered_contains_target_not_credited,wrong_near_copy_of_target,wrong_not_near_copy,abstention,frac_correct,frac_uncredited,frac_near,frac_other,frac_abstain,bands_sum
llama31-8b,joint,niah_single,knorm,0.25,700,86,17,256,17,324,0.1229,0.0243,0.3657,0.0243,0.4629,700
llama31-8b,joint,niah_single,knorm,0.5,700,343,4,202,4,147,0.49,0.0057,0.2886,0.0057,0.21,700
llama31-8b,joint,niah_single,none,1.0,700,641,13,0,0,46,0.9157,0.0186,0.0,0.0,0.0657,700
llama31-8b,joint,niah_single,snapkv,0.25,700,639,12,0,0,49,0.9129,0.0171,0.0,0.0,0.07,700
llama31-8b,joint,niah_single,snapkv,0.5,700,640,12,0,0,48,0.9143,0.0171,0.0,0.0,0.0686,700
llama31-8b,joint,niah_single,streaming_llm,0.25,700,161,5,0,13,521,0.23,0.0071,0.0,0.0186,0.7443,700
llama31-8b,joint,niah_single,streaming_llm,0.5,700,285,7,0,13,395,0.4071,0.01,0.0,0.0186,0.5643,700
llama31-8b,qa,niah_single,knorm,0.25,700,145,5,272,10,268,0.2071,0.0071,0.3886,0.0143,0.3829,700
llama31-8b,qa,niah_single,knorm,0.5,700,421,3,209,3,64,0.6014,0.0043,0.2986,0.0043,0.0914,700
llama31-8b,qa,niah_single,none,1.0,700,639,13,0,0,48,0.9129,0.0186,0.0,0.0,0.0686,700
llama31-8b,qa,niah_single,snapkv,0.25,700,245,23,21,13,398,0.35,0.0329,0.03,0.0186,0.5686,700
llama31-8b,qa,niah_single,snapkv,0.5,700,442,17,26,9,206,0.6314,0.0243,0.0371,0.0129,0.2943,700
llama31-8b,qa,niah_single,streaming_llm,0.25,700,174,0,0,2,524,0.2486,0.0,0.0,0.0029,0.7486,700
llama31-8b,qa,niah_single,streaming_llm,0.5,700,304,2,0,2,392,0.4343,0.0029,0.0,0.0029,0.56,700
qwen25-7b-1m,joint,niah_single,knorm,0.25,700,9,1,78,69,543,0.0129,0.0014,0.1114,0.0986,0.7757,700
qwen25-7b-1m,joint,niah_single,knorm,0.5,700,115,2,221,50,312,0.1643,0.0029,0.3157,0.0714,0.4457,700
qwen25-7b-1m,joint,niah_single,none,1.0,700,638,11,1,0,50,0.9114,0.0157,0.0014,0.0,0.0714,700
qwen25-7b-1m,joint,niah_single,snapkv,0.25,700,632,8,5,0,55,0.9029,0.0114,0.0071,0.0,0.0786,700
qwen25-7b-1m,joint,niah_single,snapkv,0.5,700,645,6,1,0,48,0.9214,0.0086,0.0014,0.0,0.0686,700
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,700,178,2,0,108,412,0.2543,0.0029,0.0,0.1543,0.5886,700
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,700,304,1,0,61,334,0.4343,0.0014,0.0,0.0871,0.4771,700
qwen25-7b-1m,qa,niah_single,knorm,0.25,700,12,1,58,25,604,0.0171,0.0014,0.0829,0.0357,0.8629,700
qwen25-7b-1m,qa,niah_single,knorm,0.5,700,111,1,179,31,378,0.1586,0.0014,0.2557,0.0443,0.54,700
qwen25-7b-1m,qa,niah_single,none,1.0,700,635,5,1,0,59,0.9071,0.0071,0.0014,0.0,0.0843,700
qwen25-7b-1m,qa,niah_single,snapkv,0.25,700,109,1,82,73,435,0.1557,0.0014,0.1171,0.1043,0.6214,700
qwen25-7b-1m,qa,niah_single,snapkv,0.5,700,256,2,133,73,236,0.3657,0.0029,0.19,0.1043,0.3371,700
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,700,173,4,0,0,523,0.2471,0.0057,0.0,0.0,0.7471,700
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,700,292,2,0,0,406,0.4171,0.0029,0.0,0.0,0.58,700
