model,arm,task,lang,press,kept,n,acc_official,acc_recomputed,acc_robust,delta_robust,robust_scorer,delta_strict_none,delta_lenient_single
qwen25-7b-1m,joint,niah_single,ja,none,1.0,100,0.9,0.9,1.0,-0.1,lenient_single,,-0.1
llama31-8b,qa,niah_single,ko,snapkv,0.25,100,0.62,0.62,0.72,-0.1,lenient_single,,-0.1
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,100,0.92,0.92,0.99,-0.07,lenient_single,,-0.07
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,100,0.32,0.32,0.38,-0.06,lenient_single,,-0.06
llama31-8b,qa,niah_single,ko,none,1.0,100,0.77,0.77,0.83,-0.06,lenient_single,,-0.06
llama31-8b,joint,niah_single,ko,knorm,0.25,100,0.35,0.35,0.41,-0.06,lenient_single,,-0.06
llama31-8b,joint,niah_single,ko,none,1.0,100,0.77,0.77,0.83,-0.06,lenient_single,,-0.06
llama31-8b,joint,niah_single,vi,knorm,0.25,100,0.02,0.02,0.07,-0.05,lenient_single,,-0.05
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,100,0.15,0.15,0.2,-0.05,lenient_single,,-0.05
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.5,100,0.95,0.95,1.0,-0.05,lenient_single,,-0.05
llama31-8b,joint,niah_single,ko,snapkv,0.5,100,0.76,0.76,0.81,-0.05,lenient_single,,-0.05
qwen25-7b-1m,qa,niah_single,ja,none,1.0,100,0.96,0.96,1.0,-0.04,lenient_single,,-0.04
llama31-8b,joint,niah_single,ko,snapkv,0.25,100,0.75,0.75,0.79,-0.04,lenient_single,,-0.04
llama31-8b,qa,niah_single,ko,snapkv,0.5,100,0.78,0.78,0.82,-0.04,lenient_single,,-0.04
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.25,100,0.07,0.07,0.1,-0.03,lenient_single,,-0.03
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,100,0.38,0.38,0.4,-0.02,lenient_single,,-0.02
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,100,0.14,0.14,0.16,-0.02,lenient_single,,-0.02
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,100,0.48,0.48,0.49,-0.01,lenient_single,,-0.01
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,100,0.16,0.16,0.17,-0.01,lenient_single,,-0.01
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.25,100,0.27,0.27,0.28,-0.01,lenient_single,,-0.01
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,100,0.45,0.45,0.46,-0.01,lenient_single,,-0.01
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,100,0.99,0.99,1.0,-0.01,lenient_single,,-0.01
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,100,0.08,0.08,0.09,-0.01,lenient_single,,-0.01
qwen25-7b-1m,joint,niah_single,sw,none,1.0,100,0.56,0.56,0.57,-0.01,lenient_single,,-0.01
llama31-8b,joint,niah_single,ko,knorm,0.5,100,0.49,0.49,0.5,-0.01,lenient_single,,-0.01
qwen25-7b-1m,qa,niah_single,sw,none,1.0,100,0.48,0.48,0.49,-0.01,lenient_single,,-0.01
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,100,0.08,0.08,0.09,-0.01,lenient_single,,-0.01
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.5,100,0.23,0.23,0.24,-0.01,lenient_single,,-0.01
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.5,100,0.11,0.11,0.12,-0.01,lenient_single,,-0.01
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,100,0.0,0.0,0.0,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,100,0.5,0.5,0.5,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,100,0.29,0.29,0.29,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,100,0.06,0.06,0.06,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,100,0.0,0.0,0.0,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,vi,none,1.0,100,0.96,0.96,0.96,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,100,0.11,0.11,0.11,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,100,0.02,0.02,0.02,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,100,0.0,0.0,0.0,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,100,0.0,0.0,0.0,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.5,100,0.49,0.49,0.49,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,100,0.44,0.44,0.44,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,100,0.26,0.26,0.26,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,ja,snapkv,0.5,100,0.98,0.98,0.98,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,ja,snapkv,0.25,100,0.98,0.98,0.98,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,ja,none,1.0,100,0.98,0.98,0.98,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,ja,knorm,0.5,100,0.52,0.52,0.52,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,ja,knorm,0.25,100,0.17,0.17,0.17,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,en,streaming_llm,0.5,100,0.46,0.46,0.46,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,en,streaming_llm,0.25,100,0.28,0.28,0.28,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,en,snapkv,0.5,100,1.0,1.0,1.0,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,en,snapkv,0.25,100,1.0,1.0,1.0,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,en,none,1.0,100,1.0,1.0,1.0,0.0,lenient_single,,0.0
llama31-8b,joint,niah_single,en,knorm,0.5,100,0.7,0.7,0.7,0.0,lenient_single,,0.0
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,100,0.06,0.06,0.06,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,100,0.45,0.45,0.45,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,100,0.25,0.25,0.25,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,snapkv,0.5,100,0.76,0.76,0.76,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,snapkv,0.25,100,0.21,0.21,0.21,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,none,1.0,100,0.98,0.98,0.98,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,knorm,0.5,100,0.49,0.49,0.49,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,knorm,0.25,100,0.17,0.17,0.17,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,streaming_llm,0.5,100,0.46,0.46,0.46,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,streaming_llm,0.25,100,0.27,0.27,0.27,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,snapkv,0.5,100,0.9,0.9,0.9,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,snapkv,0.25,100,0.45,0.45,0.45,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,none,1.0,100,1.0,1.0,1.0,0.0,lenient_single,,0.0
