model,arm,task,press,kept,lang,n_answered,n_exact_copy,n_near_copy,n_novel,n_distractor_exact,exact_rate,near_rate,near_ci_low,near_ci_high,novel_rate,novel_ci_low,novel_ci_high,n_target_near_truncation,n_target_near_prefix,n_any_exact,n_any_near,n_any_novel,any_novel_rate,any_novel_ci_low,any_novel_ci_high
llama31-8b,joint,niah_single,knorm,0.25,en,86.0,19.0,63.0,4.0,0.0,0.2209,0.7326,0.6305,0.8147,0.0465,0.0182,0.1136,61.0,61.0,19.0,66.0,6.0,0.0698,0.0324,0.144
llama31-8b,joint,niah_single,knorm,0.25,ja,80.0,19.0,58.0,3.0,0.0,0.2375,0.725,0.6186,0.8108,0.0375,0.0128,0.1045,52.0,52.0,19.0,60.0,3.0,0.0375,0.0128,0.1045
llama31-8b,joint,niah_single,knorm,0.25,ko,42.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0838,0.0,0.0,0.0838,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0838
llama31-8b,joint,niah_single,knorm,0.25,pl,56.0,3.0,52.0,1.0,0.0,0.0536,0.9286,0.8302,0.9719,0.0179,0.0032,0.0945,52.0,52.0,3.0,52.0,1.0,0.0179,0.0032,0.0945
llama31-8b,joint,niah_single,knorm,0.25,sw,38.0,7.0,30.0,1.0,0.0,0.1842,0.7895,0.6365,0.8893,0.0263,0.0047,0.135,28.0,28.0,7.0,30.0,3.0,0.0789,0.0272,0.208
llama31-8b,joint,niah_single,knorm,0.25,vi,20.0,7.0,13.0,0.0,0.0,0.35,0.65,0.4329,0.8188,0.0,0.0,0.1611,13.0,13.0,7.0,13.0,0.0,0.0,0.0,0.1611
llama31-8b,joint,niah_single,knorm,0.25,zh,54.0,6.0,40.0,8.0,0.0,0.1111,0.7407,0.6107,0.8388,0.1481,0.077,0.266,37.0,37.0,6.0,40.0,8.0,0.1481,0.077,0.266
llama31-8b,joint,niah_single,knorm,0.5,en,98.0,70.0,28.0,0.0,0.0,0.7143,0.2857,0.2057,0.3819,0.0,0.0,0.0377,28.0,28.0,70.0,28.0,0.0,0.0,0.0,0.0377
llama31-8b,joint,niah_single,knorm,0.5,ja,96.0,52.0,44.0,0.0,0.0,0.5417,0.4583,0.3622,0.5577,0.0,0.0,0.0385,43.0,43.0,52.0,44.0,1.0,0.0104,0.0018,0.0567
llama31-8b,joint,niah_single,knorm,0.5,ko,50.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0714
llama31-8b,joint,niah_single,knorm,0.5,pl,82.0,35.0,47.0,0.0,0.0,0.4268,0.5732,0.4652,0.6746,0.0,0.0,0.0448,47.0,47.0,35.0,48.0,0.0,0.0,0.0,0.0448
llama31-8b,joint,niah_single,knorm,0.5,sw,85.0,63.0,20.0,2.0,0.0,0.7412,0.2353,0.1578,0.3357,0.0235,0.0065,0.0818,19.0,19.0,63.0,20.0,3.0,0.0353,0.0121,0.0987
llama31-8b,joint,niah_single,knorm,0.5,vi,50.0,37.0,13.0,0.0,0.0,0.74,0.26,0.1587,0.3955,0.0,0.0,0.0714,13.0,13.0,37.0,13.0,0.0,0.0,0.0,0.0714
llama31-8b,joint,niah_single,knorm,0.5,zh,92.0,40.0,50.0,2.0,0.0,0.4348,0.5435,0.442,0.6415,0.0217,0.006,0.0758,50.0,50.0,40.0,50.0,2.0,0.0217,0.006,0.0758
llama31-8b,joint,niah_single,none,1.0,en,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
llama31-8b,joint,niah_single,none,1.0,ja,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,joint,niah_single,none,1.0,ko,85.0,85.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0432,0.0,0.0,0.0432,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0432
llama31-8b,joint,niah_single,none,1.0,pl,84.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0437,0.0,0.0,0.0437,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0437
llama31-8b,joint,niah_single,none,1.0,sw,97.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0381,0.0,0.0,0.0381,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0381
llama31-8b,joint,niah_single,none,1.0,vi,92.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0401,0.0,0.0,0.0401,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0401
llama31-8b,joint,niah_single,none,1.0,zh,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,joint,niah_single,snapkv,0.25,en,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
llama31-8b,joint,niah_single,snapkv,0.25,ja,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,joint,niah_single,snapkv,0.25,ko,81.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0453,0.0,0.0,0.0453,1.0,1.0,81.0,1.0,0.0,0.0,0.0,0.0453
llama31-8b,joint,niah_single,snapkv,0.25,pl,83.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0442,0.0,0.0,0.0442,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0442
llama31-8b,joint,niah_single,snapkv,0.25,sw,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
