model,arm,task,lang,press,kept,sample_id,value,origin,match_type
llama31-8b,qa,niah_single,pl,snapkv,0.5,0,286782,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_single,pl,snapkv,0.5,3,1499914,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,8,3600000,ENTIRELY_NOVEL,none
llama31-8b,qa,niah_single,pl,snapkv,0.5,8,360000,ENTIRELY_NOVEL,none
llama31-8b,qa,niah_single,pl,snapkv,0.5,14,2166941,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,15,5855124,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,21,468453,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_single,pl,snapkv,0.5,22,1538552,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,23,211046,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_single,pl,snapkv,0.5,27,770828,TARGET_NEAR_COPY,levenshtein
llama31-8b,qa,niah_single,pl,snapkv,0.5,34,6707197,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,35,3653446,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,37,2785277,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,38,727323,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_single,pl,snapkv,0.5,40,7089806,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,42,915356,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_single,pl,snapkv,0.5,45,4374754,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,47,515916,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_single,pl,snapkv,0.5,49,4694634,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,50,1987737,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,51,6543670,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,52,914390,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_single,pl,snapkv,0.5,53,8930103,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,54,4194548,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,55,8231838,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,58,4214348,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,58,421434,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_single,pl,snapkv,0.5,59,8077999,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,60,5191056,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,66,9164991,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,70,9519948,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,71,2140194,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,74,4426900,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,79,5098412,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,81,9874152,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,85,6752576,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,86,9196204,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,89,8412769,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,90,1162230,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,93,6171716,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,94,4524499,TARGET_EXACT,exact
llama31-8b,qa,niah_single,pl,snapkv,0.5,97,4009172,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,3,149914,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,8,3608563,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,9,255609,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,10,678901234567890123456789012345678901234567890123456789012345,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,11,87654321,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,12,232204,TARGET_NEAR_COPY,prefix
