model,arm,task,press,kept,n_answered,n_exact_copy,n_near_copy,n_novel,n_distractor_exact,exact_rate,near_rate,near_ci_low,near_ci_high,novel_rate,novel_ci_low,novel_ci_high,n_target_near_truncation,n_target_near_prefix,n_any_exact,n_any_near,n_any_novel,any_novel_rate,any_novel_ci_low,any_novel_ci_high,other_input_reference
llama31-8b,joint,niah_single,knorm,0.25,376.0,103.0,256.0,17.0,0.0,0.2739,0.6809,0.6321,0.7259,0.0452,0.0284,0.0712,243.0,243.0,103.0,261.0,21.0,0.0559,0.0368,0.0839,per-item full input
llama31-8b,joint,niah_single,knorm,0.5,553.0,347.0,202.0,4.0,0.0,0.6275,0.3653,0.3262,0.4062,0.0072,0.0028,0.0184,200.0,200.0,347.0,203.0,6.0,0.0108,0.005,0.0235,per-item full input
llama31-8b,joint,niah_single,none,1.0,654.0,654.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0058,0.0,0.0,0.0058,0.0,0.0,654.0,0.0,0.0,0.0,0.0,0.0058,per-item full input
llama31-8b,joint,niah_single,snapkv,0.25,651.0,651.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0059,0.0,0.0,0.0059,1.0,1.0,651.0,1.0,0.0,0.0,0.0,0.0059,per-item full input
llama31-8b,joint,niah_single,snapkv,0.5,652.0,652.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0059,0.0,0.0,0.0059,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0059,per-item full input
llama31-8b,joint,niah_single,streaming_llm,0.25,179.0,166.0,0.0,13.0,0.0,0.9274,0.0,0.0,0.021,0.0726,0.0429,0.1203,0.0,0.0,166.0,0.0,13.0,0.0726,0.0429,0.1203,per-item full input
llama31-8b,joint,niah_single,streaming_llm,0.5,305.0,292.0,0.0,13.0,0.0,0.9574,0.0,0.0,0.0124,0.0426,0.0251,0.0715,0.0,0.0,292.0,0.0,13.0,0.0426,0.0251,0.0715,per-item full input
llama31-8b,qa,niah_none,knorm,0.25,348.0,167.0,176.0,5.0,167.0,0.4799,0.5057,0.4534,0.5579,0.0144,0.0062,0.0332,0.0,0.0,167.0,255.0,47.0,0.1351,0.1031,0.175,per-item full input
llama31-8b,qa,niah_none,knorm,0.5,348.0,275.0,72.0,1.0,275.0,0.7902,0.2069,0.1676,0.2525,0.0029,0.0005,0.0161,0.0,0.0,275.0,174.0,39.0,0.1121,0.0831,0.1495,per-item full input
llama31-8b,qa,niah_none,none,1.0,397.0,396.0,0.0,1.0,396.0,0.9975,0.0,0.0,0.0096,0.0025,0.0004,0.0141,0.0,0.0,396.0,5.0,3.0,0.0076,0.0026,0.022,per-item full input
llama31-8b,qa,niah_none,snapkv,0.25,225.0,208.0,8.0,9.0,208.0,0.9244,0.0356,0.0181,0.0686,0.04,0.0212,0.0743,0.0,0.0,208.0,38.0,18.0,0.08,0.0512,0.1229,per-item full input
