k_langs,items_per_cell,critical_abs_rho,rho_true,power
7,100,0.75,0.5,0.189
7,100,0.75,0.6,0.283
7,100,0.75,0.7,0.371
7,100,0.75,0.8,0.527
10,70,0.636,0.5,0.257
10,70,0.636,0.6,0.363
10,70,0.636,0.7,0.519
10,70,0.636,0.8,0.719
12,58,0.58,0.5,0.3
12,58,0.58,0.6,0.45
12,58,0.58,0.7,0.628
12,58,0.58,0.8,0.806
15,46,0.525,0.5,0.373
15,46,0.525,0.6,0.519
15,46,0.525,0.7,0.709
15,46,0.525,0.8,0.883
20,35,0.45,0.5,0.489
20,35,0.45,0.6,0.685
20,35,0.45,0.7,0.846
20,35,0.45,0.8,0.951
26,26,0.387,0.5,0.609
26,26,0.387,0.6,0.797
26,26,0.387,0.7,0.929
26,26,0.387,0.8,0.986
