model,press,kept,lang,acc_qa,acc_joint,coverage_qa,coverage_joint,n
llama31-8b,knorm,0.25,en,0.17,0.16,0.75,0.86,100
llama31-8b,knorm,0.25,ja,0.17,0.17,0.7,0.8,100
llama31-8b,knorm,0.25,ko,0.82,0.35,0.85,0.42,100
llama31-8b,knorm,0.25,pl,0.04,0.03,0.58,0.56,100
llama31-8b,knorm,0.25,sw,0.06,0.07,0.36,0.38,100
llama31-8b,knorm,0.25,vi,0.14,0.02,0.72,0.2,100
llama31-8b,knorm,0.25,zh,0.05,0.06,0.36,0.54,100
llama31-8b,knorm,0.5,en,0.72,0.7,0.99,0.98,100
llama31-8b,knorm,0.5,ja,0.49,0.52,0.91,0.96,100
llama31-8b,knorm,0.5,ko,0.87,0.49,0.88,0.5,100
llama31-8b,knorm,0.5,pl,0.3,0.34,0.78,0.82,100
llama31-8b,knorm,0.5,sw,0.68,0.62,0.91,0.85,100
llama31-8b,knorm,0.5,vi,0.79,0.36,0.98,0.5,100
llama31-8b,knorm,0.5,zh,0.36,0.4,0.91,0.92,100
llama31-8b,none,1.0,en,1.0,1.0,1.0,1.0,100
llama31-8b,none,1.0,ja,0.98,0.98,0.98,0.98,100
llama31-8b,none,1.0,ko,0.77,0.77,0.85,0.85,100
llama31-8b,none,1.0,pl,0.84,0.84,0.84,0.84,100
llama31-8b,none,1.0,sw,0.92,0.92,0.97,0.97,100
llama31-8b,none,1.0,vi,0.9,0.92,0.9,0.92,100
llama31-8b,none,1.0,zh,0.98,0.98,0.98,0.98,100
llama31-8b,snapkv,0.25,en,0.45,1.0,0.52,1.0,100
llama31-8b,snapkv,0.25,ja,0.21,0.98,0.43,0.98,100
llama31-8b,snapkv,0.25,ko,0.62,0.75,0.79,0.81,100
llama31-8b,snapkv,0.25,pl,0.0,0.83,0.04,0.83,100
llama31-8b,snapkv,0.25,sw,0.9,0.92,0.94,0.98,100
llama31-8b,snapkv,0.25,vi,0.03,0.93,0.05,0.93,100
llama31-8b,snapkv,0.25,zh,0.24,0.98,0.25,0.98,100
llama31-8b,snapkv,0.5,en,0.9,1.0,0.94,1.0,100
llama31-8b,snapkv,0.5,ja,0.76,0.98,0.84,0.98,100
llama31-8b,snapkv,0.5,ko,0.78,0.76,0.86,0.83,100
llama31-8b,snapkv,0.5,pl,0.3,0.83,0.4,0.83,100
llama31-8b,snapkv,0.5,sw,0.91,0.92,0.97,0.97,100
llama31-8b,snapkv,0.5,vi,0.14,0.93,0.17,0.93,100
llama31-8b,snapkv,0.5,zh,0.63,0.98,0.76,0.98,100
llama31-8b,streaming_llm,0.25,en,0.27,0.28,0.27,0.29,100
llama31-8b,streaming_llm,0.25,ja,0.25,0.26,0.25,0.28,100
llama31-8b,streaming_llm,0.25,ko,0.21,0.15,0.23,0.2,100
llama31-8b,streaming_llm,0.25,pl,0.28,0.13,0.28,0.16,100
llama31-8b,streaming_llm,0.25,sw,0.27,0.28,0.27,0.28,100
llama31-8b,streaming_llm,0.25,vi,0.19,0.24,0.19,0.3,100
llama31-8b,streaming_llm,0.25,zh,0.27,0.27,0.27,0.28,100
llama31-8b,streaming_llm,0.5,en,0.46,0.46,0.46,0.46,100
llama31-8b,streaming_llm,0.5,ja,0.45,0.44,0.45,0.46,100
llama31-8b,streaming_llm,0.5,ko,0.38,0.32,0.4,0.39,100
llama31-8b,streaming_llm,0.5,pl,0.49,0.33,0.49,0.34,100
llama31-8b,streaming_llm,0.5,sw,0.43,0.43,0.43,0.43,100
llama31-8b,streaming_llm,0.5,vi,0.4,0.44,0.42,0.54,100
llama31-8b,streaming_llm,0.5,zh,0.43,0.43,0.43,0.43,100
qwen25-7b-1m,knorm,0.25,en,0.02,0.01,0.14,0.18,100
qwen25-7b-1m,knorm,0.25,ja,0.03,0.01,0.15,0.11,100
qwen25-7b-1m,knorm,0.25,ko,0.04,0.05,0.35,0.34,100
qwen25-7b-1m,knorm,0.25,pl,0.01,0.01,0.06,0.12,100
qwen25-7b-1m,knorm,0.25,sw,0.0,0.01,0.0,0.3,100
qwen25-7b-1m,knorm,0.25,vi,0.02,0.0,0.15,0.21,100
qwen25-7b-1m,knorm,0.25,zh,0.0,0.0,0.11,0.31,100
qwen25-7b-1m,knorm,0.5,en,0.04,0.09,0.28,0.49,100
qwen25-7b-1m,knorm,0.5,ja,0.07,0.08,0.49,0.49,100
