model,press,kept,acc_qa,acc_joint,d_acc,d_acc_lo,d_acc_hi,acc_sig,coverage_qa,coverage_joint,d_coverage,d_cov_lo,d_cov_hi,cov_sig,prec_qa,prec_joint,d_prec,d_prec_lo,d_prec_hi,prec_sig,n_answered_qa,n_answered_joint
llama31-8b,knorm,0.25,0.2071,0.1229,-0.0843,-0.1071,-0.0629,True,0.6171,0.5371,-0.08,-0.1143,-0.0471,True,0.3356,0.2287,-0.1069,-0.1427,-0.0708,True,432,376
llama31-8b,knorm,0.5,0.6014,0.49,-0.1114,-0.1357,-0.0857,True,0.9086,0.79,-0.1186,-0.1429,-0.0929,True,0.6619,0.6203,-0.0417,-0.0633,-0.0199,True,636,553
llama31-8b,none,1.0,0.9129,0.9157,0.0029,-0.0057,0.01,False,0.9314,0.9343,0.0029,-0.0057,0.01,False,0.9801,0.9801,0.0001,-0.0001,0.0003,False,652,654
llama31-8b,snapkv,0.25,0.35,0.9129,0.5629,0.5314,0.5957,True,0.4314,0.93,0.4986,0.4671,0.53,True,0.8113,0.9816,0.1703,0.1304,0.2132,True,302,651
llama31-8b,snapkv,0.5,0.6314,0.9143,0.2829,0.2529,0.3129,True,0.7057,0.9314,0.2257,0.2,0.2529,True,0.8947,0.9816,0.0869,0.0608,0.1135,True,494,652
llama31-8b,streaming_llm,0.25,0.2486,0.23,-0.0186,-0.0329,-0.0043,True,0.2514,0.2557,0.0043,-0.0129,0.0214,False,0.9886,0.8994,-0.0892,-0.1324,-0.0434,True,176,179
llama31-8b,streaming_llm,0.5,0.4343,0.4071,-0.0271,-0.0429,-0.0114,True,0.44,0.4357,-0.0043,-0.0229,0.0143,False,0.987,0.9344,-0.0526,-0.0796,-0.0275,True,308,305
qwen25-7b-1m,knorm,0.25,0.0171,0.0129,-0.0043,-0.0157,0.0071,False,0.1371,0.2243,0.0871,0.0543,0.12,True,0.125,0.0573,-0.0677,-0.1377,-0.0017,True,96,157
qwen25-7b-1m,knorm,0.5,0.1586,0.1643,0.0057,-0.0157,0.0257,False,0.46,0.5543,0.0943,0.06,0.1286,True,0.3447,0.2964,-0.0483,-0.0902,-0.0116,True,322,388
qwen25-7b-1m,none,1.0,0.9071,0.9114,0.0043,-0.0086,0.0157,False,0.9157,0.9286,0.0129,0.0014,0.0243,True,0.9906,0.9815,-0.0091,-0.0184,0.0001,False,641,650
qwen25-7b-1m,snapkv,0.25,0.1557,0.9029,0.7471,0.7214,0.7729,True,0.3786,0.9214,0.5429,0.5086,0.5771,True,0.4113,0.9798,0.5685,0.5184,0.6172,True,265,645
qwen25-7b-1m,snapkv,0.5,0.3657,0.9214,0.5557,0.5229,0.5872,True,0.6629,0.9314,0.2686,0.2371,0.3014,True,0.5517,0.9893,0.4375,0.3992,0.4784,True,464,652
qwen25-7b-1m,streaming_llm,0.25,0.2471,0.2543,0.0071,-0.0043,0.0186,False,0.2529,0.4114,0.1586,0.1314,0.1857,True,0.9774,0.6181,-0.3593,-0.4179,-0.3014,True,177,288
qwen25-7b-1m,streaming_llm,0.5,0.4171,0.4343,0.0171,0.0043,0.03,True,0.42,0.5229,0.1029,0.08,0.1272,True,0.9932,0.8306,-0.1626,-0.2012,-0.1242,True,294,366
