model,press,kept,redundancy_metric,k_langs,rho,exact_p,leave_one_out,q_bh
llama31-8b,knorm,0.25,implied_repeats,7,0.3214,0.4976,"{""en"": 0.257, ""pl"": 0.371, ""zh"": 0.314, ""ja"": 0.771, ""ko"": -0.086, ""vi"": 0.257, ""sw"": 0.314}",0.7582476190476191
llama31-8b,knorm,0.25,dup_sentence_frac,7,0.3214,0.4976,"{""en"": 0.257, ""pl"": 0.371, ""zh"": 0.314, ""ja"": 0.771, ""ko"": -0.086, ""vi"": 0.257, ""sw"": 0.314}",0.7582476190476191
llama31-8b,knorm,0.25,distinct_char_48gram,7,-0.4009,0.4286,"{""en"": -0.507, ""pl"": -0.338, ""zh"": -0.338, ""ja"": -0.507, ""ko"": 0.131, ""vi"": -0.507, ""sw"": -0.655}",0.7582476190476191
llama31-8b,knorm,0.25,gzip_ratio,7,-0.8571,0.0238,"{""en"": -0.943, ""pl"": -0.829, ""zh"": -0.829, ""ja"": -0.771, ""ko"": -0.771, ""vi"": -0.886, ""sw"": -0.886}",0.30464
llama31-8b,knorm,0.5,implied_repeats,7,0.6786,0.1095,"{""en"": 0.6, ""pl"": 0.886, ""zh"": 0.714, ""ja"": 0.714, ""ko"": 0.486, ""vi"": 0.486, ""sw"": 0.771}",0.3893333333333333
llama31-8b,knorm,0.5,dup_sentence_frac,7,0.6786,0.1095,"{""en"": 0.6, ""pl"": 0.886, ""zh"": 0.714, ""ja"": 0.714, ""ko"": 0.486, ""vi"": 0.486, ""sw"": 0.771}",0.3893333333333333
llama31-8b,knorm,0.5,distinct_char_48gram,7,-0.6682,0.1429,"{""en"": -0.676, ""pl"": -0.676, ""zh"": -0.676, ""ja"": -0.676, ""ko"": -0.393, ""vi"": -0.845, ""sw"": -0.655}",0.45728
llama31-8b,knorm,0.5,gzip_ratio,7,-0.75,0.0663,"{""en"": -0.771, ""pl"": -0.657, ""zh"": -0.657, ""ja"": -0.943, ""ko"": -0.6, ""vi"": -0.771, ""sw"": -0.771}",0.35359999999999997
llama31-8b,snapkv,0.25,implied_repeats,7,0.1071,0.8397,"{""en"": -0.029, ""pl"": 0.2, ""zh"": 0.029, ""ja"": 0.029, ""ko"": -0.2, ""vi"": 0.371, ""sw"": 0.371}",0.89568
llama31-8b,snapkv,0.25,dup_sentence_frac,7,0.1071,0.8397,"{""en"": -0.029, ""pl"": 0.2, ""zh"": 0.029, ""ja"": 0.029, ""ko"": -0.2, ""vi"": 0.371, ""sw"": 0.371}",0.89568
llama31-8b,snapkv,0.25,distinct_char_48gram,7,-0.7572,0.0952,"{""en"": -0.778, ""pl"": -0.778, ""zh"": -0.778, ""ja"": -0.778, ""ko"": -0.655, ""vi"": -0.778, ""sw"": -0.655}",0.3893333333333333
llama31-8b,snapkv,0.25,gzip_ratio,7,-0.25,0.5948,"{""en"": -0.2, ""pl"": 0.029, ""zh"": -0.371, ""ja"": -0.429, ""ko"": 0.029, ""vi"": -0.429, ""sw"": -0.371}",0.8651636363636364
llama31-8b,snapkv,0.5,implied_repeats,7,0.1429,0.7825,"{""en"": 0.029, ""pl"": 0.314, ""zh"": 0.143, ""ja"": 0.143, ""ko"": -0.371, ""vi"": 0.486, ""sw"": 0.2}",0.89568
llama31-8b,snapkv,0.5,dup_sentence_frac,7,0.1429,0.7825,"{""en"": 0.029, ""pl"": 0.314, ""zh"": 0.143, ""ja"": 0.143, ""ko"": -0.371, ""vi"": 0.486, ""sw"": 0.2}",0.89568
llama31-8b,snapkv,0.5,distinct_char_48gram,7,-0.8018,0.0476,"{""en"": -0.845, ""pl"": -0.845, ""zh"": -0.845, ""ja"": -0.845, ""ko"": -0.655, ""vi"": -0.845, ""sw"": -0.655}",0.30464
llama31-8b,snapkv,0.5,gzip_ratio,7,-0.4286,0.3536,"{""en"": -0.486, ""pl"": -0.371, ""zh"": -0.371, ""ja"": -0.371, ""ko"": -0.086, ""vi"": -0.771, ""sw"": -0.486}",0.7543466666666667
