model,lang,task,kept,sample_id,keep_overall,keep_value,keep_window,keep_question,keep_haystack,keep_overall_high,keep_value_high,keep_window_high,keep_question_high,keep_haystack_high,arm,frac_value_evicted,n_tokens,n_value_tokens,n_question_tokens,depth
llama31-8b,vi,niah_single,0.5,0,0.5,0.9544270844198763,0.8406059434637427,1.0,0.4995717772981152,0.5,0.046875000931322575,0.15882240771315992,1.0,0.5004289442440495,qa,0.015625,32757,3,105,0.0408
llama31-8b,vi,niah_single,0.5,1,0.5,0.9401041680248454,0.6872209851862863,1.0,0.49975886079482734,0.5,0.06119791779201478,0.31222098832949996,1.0,0.5002418732037768,qa,0.0234375,32753,3,103,0.2484
llama31-8b,vi,niah_single,0.5,2,0.5,0.924479168606922,0.6406250055879354,1.0,0.49981887510512024,0.5,0.07161458465270698,0.35816593072377145,1.0,0.5001826682128012,qa,0.03125,32757,3,105,0.9648
llama31-8b,vi,niah_single,0.5,3,0.4999846816062927,0.9492187513969839,0.5835937514202669,1.0,0.49985645490232855,0.4999846816062927,0.05208333441987634,0.4166406254225876,1.0,0.5001125111011788,qa,0.015625,32755,3,104,0.1691
llama31-8b,vi,niah_single,0.5,4,0.4999846816062927,0.9335937519790605,0.6122819778975099,1.0,0.4998366058571264,0.4999846816062927,0.06510416802484542,0.3884447679738514,1.0,0.5001317850546911,qa,0.01953125,32755,3,104,0.9767
llama31-8b,vi,niah_single,0.5,5,0.4999846816062927,0.8828125031432137,0.7315492009511217,1.0,0.4996508752228692,0.4999846816062927,0.1184895858168602,0.26878324382414576,1.0,0.500317971338518,qa,0.03125,32755,3,104,0.9003
llama31-8b,vi,niah_single,0.5,6,0.5,0.9166666684905067,0.6354166709352285,1.0,0.49982558307237923,0.5,0.08593750174622983,0.36337426386307925,1.0,0.5001759614096954,qa,0.02734375,32757,3,105,0.9648
llama31-8b,vi,niah_single,0.5,7,0.4999846816062927,0.8997395858168602,0.45898438175208867,1.0,0.5000374987721443,0.4999846816062927,0.10156250209547579,0.5406436094781384,1.0,0.499932327773422,qa,0.02734375,32755,3,104,0.7364
llama31-8b,vi,niah_single,0.5,8,0.4999846816062927,0.9375000013969839,0.7951722868019715,1.0,0.49963167891837656,0.4999846816062927,0.06119791779201478,0.20422676876478363,1.0,0.5003383753355592,qa,0.0234375,32755,3,104,0.3753
llama31-8b,vi,niah_single,0.5,9,0.5,0.9088541690725833,0.5847981760744005,1.0,0.4998751594685018,0.5,0.09375000197906047,0.4176432284875773,1.0,0.5001212472561747,qa,0.02734375,32757,3,105,0.6598
llama31-8b,vi,niah_single,0.5,10,0.5,0.9414062516298145,0.6229538761544973,1.0,0.49984163569752127,0.5,0.05989583441987634,0.3780692033469677,1.0,0.5001570329768583,qa,0.01953125,32757,3,105,0.9767
llama31-8b,vi,niah_single,0.5,11,0.4999846816062927,0.886718753259629,0.7279514035908505,1.0,0.4996700675692409,0.4999846816062927,0.11197916907258332,0.27230903517920524,1.0,0.5002989040222019,qa,0.02734375,32755,3,104,0.9002
llama31-8b,vi,niah_single,0.5,12,0.4999846816062927,0.9453125013969839,0.6210937509313226,1.0,0.4998212851351127,0.4999846816062927,0.053385417559184134,0.3789950283244252,1.0,0.5001479433849454,qa,0.01953125,32759,3,106,0.9255
llama31-8b,vi,niah_single,0.5,13,0.4999846816062927,0.906250002910383,0.6565972401294857,1.0,0.4997685638954863,0.4999846816062927,0.09635416860692203,0.34409723193675745,1.0,0.500199826201424,qa,0.03125,32759,3,106,0.9403
llama31-8b,vi,niah_single,0.5,14,0.4999846816062927,0.9427083348855376,0.7490985722979531,1.0,0.4996867765439674,0.4999846816062927,0.0572916679084301,0.2510016092201113,1.0,0.500282435095869,qa,0.015625,32755,3,104,0.0831
llama31-8b,vi,niah_single,0.5,15,0.4999846816062927,0.9348958351183683,0.578046876937151,1.0,0.49986496195197105,0.4999846816062927,0.0638020847691223,0.4194531258981442,1.0,0.5001081984955817,qa,0.015625,32755,3,104,0.1691
llama31-8b,vi,niah_single,0.5,16,0.4999846816062927,0.9231770859332755,0.5862100318772718,1.0,0.4998709870269522,0.4999846816062927,0.07552083523478359,0.4069767465698533,1.0,0.5001073444727808,qa,0.01171875,32755,3,104,0.4717
llama31-8b,vi,niah_single,0.5,17,0.5,0.9492187516298145,0.6449962853221223,1.0,0.49981324619147927,0.5,0.050781251047737896,0.35249256750103086,1.0,0.5001899753697217,qa,0.01171875,32757,3,105,0.2977
llama31-8b,vi,niah_single,0.5,18,0.5,0.9205729191889986,0.594840117439162,1.0,0.4998749498045072,0.5,0.07812500186264515,0.3974382292944938,1.0,0.500135246431455,qa,0.015625,32757,3,105,0.4717
llama31-8b,vi,niah_single,0.5,19,0.4999846816062927,0.9062500027939677,0.732130982214585,1.0,0.49965003645047545,0.4999846816062927,0.08854166849050671,0.26919880232890137,1.0,0.5003173724981025,qa,0.02734375,32755,3,104,0.9003
llama31-8b,vi,niah_single,0.5,20,0.5,0.936197918606922,0.5939993257634342,1.0,0.49986449792049825,0.5,0.06640625151339918,0.4083277927711606,1.0,0.5001321453601122,qa,0.01171875,32757,3,105,0.6598
llama31-8b,vi,niah_single,0.5,21,0.5,0.936197918606922,0.6113757628481835,1.0,0.4998599775135517,0.5,0.06510416802484542,0.3967225601663813,1.0,0.5001298469724134,qa,0.01953125,32757,3,105,0.5479
llama31-8b,vi,niah_single,0.5,22,0.4999846816062927,0.9361979181412607,0.5713541868608445,1.0,0.49988619226496667,0.4999846816062927,0.0651041679084301,0.43723959394264966,1.0,0.5000712859909981,qa,0.0234375,32755,3,104,0.5479
llama31-8b,vi,niah_single,0.5,23,0.5,0.9401041681412607,0.7937700432958081,1.0,0.4996486968593672,0.5,0.0611979179084301,0.2047275702643674,1.0,0.5003530995454639,qa,0.01953125,32757,3,105,0.3753
llama31-8b,ko,niah_single,0.5,0,0.49998465180397034,0.958333334303461,0.7788149330299348,1.0,0.49932466342579573,0.49998465180397034,0.04166666744276881,0.22204748310468858,1.0,0.5006425542524084,qa,0.015625,32700,3,93,0.0407
llama31-8b,ko,niah_single,0.5,1,0.49998465180397034,0.9583333341870457,0.7519531265133992,1.0,0.49936494999565184,0.49998465180397034,0.041666667559184134,0.24697265585928108,1.0,0.500606945133768,qa,0.01171875,32700,3,93,0.2153
llama31-8b,ko,niah_single,0.5,2,0.49998465180397034,0.9596354174427688,0.5714614182943478,1.0,0.4997978552710265,0.49998465180397034,0.04166666720993817,0.4291360378265381,1.0,0.5001698366831988,qa,0.01953125,32700,3,93,0.9453
llama31-8b,ko,niah_single,0.5,3,0.49998465180397034,0.9635416674427688,0.7224584642099217,1.0,0.49944434873759747,0.49998465180397034,0.03515625058207661,0.2783821193006588,1.0,0.5005228662630543,qa,0.01171875,32700,3,93,0.1445
llama31-8b,ko,niah_single,0.5,4,0.5,0.9583333345362917,0.5739103627856821,1.0,0.4998273269739002,0.5,0.042968750931322575,0.42639802751364186,1.0,0.5001719536958262,qa,0.01171875,32698,3,92,0.9627
llama31-8b,ko,niah_single,0.5,5,0.49998465180397034,0.946614584303461,0.5021436732495204,1.0,0.4999792252201587,0.49998465180397034,0.05468750081490725,0.4980468748835847,1.0,0.49998955230694264,qa,0.0234375,32700,3,93,0.876
llama31-8b,ko,niah_single,0.5,6,0.4999846816062927,0.9531250008149073,0.5773168076993898,1.0,0.4997777978423983,0.4999846816062927,0.04687500081490725,0.42272808821871877,1.0,0.5001913335872814,qa,0.01953125,32704,3,95,0.9453
llama31-8b,ko,niah_single,0.5,7,0.49998465180397034,0.9557291674427688,0.4954185952665284,1.0,0.49999603698961437,0.49998465180397034,0.04427083407063037,0.5054012320470065,1.0,0.4999711778946221,qa,0.01953125,32700,3,93,0.6883
llama31-8b,ko,niah_single,0.5,8,0.49998465180397034,0.9583333341870457,0.6241883094189689,1.0,0.4996906745946035,0.49998465180397034,0.04166666744276881,0.3745434252778068,1.0,0.5002815868938342,qa,0.015625,32700,3,93,0.3404
llama31-8b,ko,niah_single,0.5,9,0.4999846816062927,0.9583333341870457,0.5481270116288215,1.0,0.4998692371882498,0.4999846816062927,0.04296875069849193,0.4546274109161459,1.0,0.5000934223644435,qa,0.01953125,32704,3,95,0.6302
llama31-8b,ko,niah_single,0.5,10,0.5,0.9583333340706304,0.5965909083606675,1.0,0.49977137241512537,0.5,0.04296875069849193,0.4047280844533816,1.0,0.5002255062572658,qa,0.01953125,32702,3,94,0.9627
llama31-8b,ko,niah_single,0.5,11,0.49998465180397034,0.950520834303461,0.5122010032646358,1.0,0.49995424353983253,0.49998465180397034,0.04947916744276881,0.48905285459477454,1.0,0.5000118891475722,qa,0.0234375,32700,3,93,0.876
llama31-8b,ko,niah_single,0.5,12,0.5,0.9648437505820766,0.5304687658790499,1.0,0.4999203672632575,0.5,0.03385416709352285,0.46907170477788895,1.0,0.5000808290205896,qa,0.01953125,32702,3,94,0.9055
llama31-8b,ko,niah_single,0.5,13,0.49998465180397034,0.9557291675591841,0.6147592895431444,1.0,0.4997235997579992,0.49998465180397034,0.04296875069849193,0.3851351344783325,1.0,0.5002459050156176,qa,0.01953125,32700,3,93,0.9222
llama31-8b,ko,niah_single,0.5,14,0.5,0.9518229176755995,0.8147665916476399,1.0,0.49921610695309937,0.5,0.04817708418704569,0.18605323950760067,1.0,0.5007818498415872,qa,0.01953125,32698,3,92,0.0663
llama31-8b,ko,niah_single,0.5,15,0.49998465180397034,0.9596354175591841,0.7233484965981916,1.0,0.49944218702148646,0.49998465180397034,0.04036458418704569,0.2772943032650801,1.0,0.500525509705767,qa,0.01171875,32700,3,93,0.1445
llama31-8b,ko,niah_single,0.5,16,0.49998465180397034,0.9596354177920148,0.5778459844877943,1.0,0.4997835657559335,0.49998465180397034,0.039062501047737896,0.41866629471769556,1.0,0.5001946894917637,qa,0.00390625,32700,3,93,0.4415
llama31-8b,ko,niah_single,0.5,17,0.49998465180397034,0.9635416676755995,0.7022569458931684,1.0,0.4995370375690982,0.49998465180397034,0.03515625069849193,0.29779730903101154,1.0,0.5004321158630773,qa,0.01171875,32700,3,93,0.2656
