model,arm,task,lang,press,kept,correct,false_absence,wrong_number,other,false_presence_distractor,false_presence_hallucinated
llama31-8b,joint,niah_single,en,knorm,0.25,0.16,0.03,0.81,0.0,,
llama31-8b,joint,niah_single,en,knorm,0.5,0.7,0.01,0.29,0.0,,
llama31-8b,joint,niah_single,en,none,1.0,1.0,0.0,0.0,0.0,,
llama31-8b,joint,niah_single,en,snapkv,0.25,1.0,0.0,0.0,0.0,,
llama31-8b,joint,niah_single,en,snapkv,0.5,1.0,0.0,0.0,0.0,,
llama31-8b,joint,niah_single,en,streaming_llm,0.25,0.28,0.11,0.48,0.13,,
llama31-8b,joint,niah_single,en,streaming_llm,0.5,0.46,0.1,0.32,0.12,,
llama31-8b,joint,niah_single,ja,knorm,0.25,0.17,0.08,0.75,0.0,,
llama31-8b,joint,niah_single,ja,knorm,0.5,0.52,0.03,0.45,0.0,,
llama31-8b,joint,niah_single,ja,none,1.0,0.98,0.02,0.0,0.0,,
llama31-8b,joint,niah_single,ja,snapkv,0.25,0.98,0.02,0.0,0.0,,
llama31-8b,joint,niah_single,ja,snapkv,0.5,0.98,0.02,0.0,0.0,,
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,0.26,0.09,0.62,0.03,,
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,0.44,0.07,0.47,0.02,,
llama31-8b,joint,niah_single,ko,knorm,0.25,0.35,0.63,0.02,0.0,,
llama31-8b,joint,niah_single,ko,knorm,0.5,0.49,0.5,0.01,0.0,,
llama31-8b,joint,niah_single,ko,none,1.0,0.77,0.21,0.02,0.0,,
llama31-8b,joint,niah_single,ko,snapkv,0.25,0.75,0.21,0.04,0.0,,
llama31-8b,joint,niah_single,ko,snapkv,0.5,0.76,0.21,0.03,0.0,,
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,0.15,0.79,0.04,0.02,,
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,0.32,0.59,0.06,0.03,,
llama31-8b,joint,niah_single,pl,knorm,0.25,0.03,0.57,0.39,0.01,,
