model,arm,task,lang,press,kept,base_acc,base_floor,delta,delta_ci_low,delta_ci_high,gap_amp,ga_ci_low,ga_ci_high,ga_sig,ga_p,gap_amp_logodds,ga_lo_ci_low,ga_lo_ci_high,ga_lo_sig,ga_lo_p,ga_q,ga_lo_q,ga_sig_bh,ga_lo_sig_bh
llama31-8b,joint,niah_single,en,snapkv,0.5,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,en,snapkv,0.25,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,en,streaming_llm,0.5,1.0,False,0.54,0.44,0.64,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,en,streaming_llm,0.25,1.0,False,0.72,0.63,0.8,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,en,knorm,0.5,1.0,False,0.3,0.21,0.39,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,en,knorm,0.25,1.0,False,0.84,0.76,0.91,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,ja,snapkv,0.5,0.98,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,ja,snapkv,0.25,0.98,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,0.98,False,0.54,0.44,0.64,0.0,-0.14,0.14,False,1.0,-1.5495,-2.5,0.3207,False,0.155,1.0,0.3202105263157895,False,False
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,0.98,False,0.72,0.63,0.81,0.0,-0.12,0.13,False,1.0,-1.5296,-2.5722,0.3932,False,0.165,1.0,0.3202105263157895,False,False
llama31-8b,joint,niah_single,ja,knorm,0.5,0.98,False,0.46,0.3698,0.56,0.16,0.03,0.29,True,0.024,-0.8709,-1.8241,1.0458,False,0.334,0.1728,0.5465454545454546,False,False
llama31-8b,joint,niah_single,ja,knorm,0.25,0.98,False,0.81,0.73,0.88,-0.03,-0.14,0.07,False,0.625,-1.7003,-2.8736,0.2236,False,0.103,1.0,0.23174999999999998,False,False
llama31-8b,joint,niah_single,ko,snapkv,0.5,0.77,False,0.01,0.0,0.03,0.01,0.0,0.03,False,0.737,0.0547,0.0,0.1873,False,0.737,1.0,0.9408,False,False
llama31-8b,joint,niah_single,ko,snapkv,0.25,0.77,False,0.02,0.0,0.05,0.02,0.0,0.05,False,0.259,0.1078,0.0,0.2824,False,0.259,0.8541818181818183,0.444,False,False
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,0.77,False,0.45,0.34,0.55,-0.09,-0.25,0.05,False,0.253,-3.5232,-4.2135,-2.8405,True,0.0009995002498750624,0.8541818181818183,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,0.77,False,0.62,0.51,0.72,-0.1,-0.24,0.03,False,0.165,-3.336,-4.113,-2.482,True,0.0009995002498750624,0.8485714285714286,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,ko,knorm,0.5,0.77,False,0.28,0.19,0.37,-0.02,-0.14,0.11,False,0.81,-3.2325,-3.7959,-2.5495,True,0.0009995002498750624,1.0,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,ko,knorm,0.25,0.77,False,0.42,0.32,0.52,-0.42,-0.54,-0.3,True,0.0009995002498750624,-5.1309,-5.8845,-4.4344,True,0.0009995002498750624,0.01199400299850075,0.0030000000000000005,True,True
llama31-8b,joint,niah_single,pl,snapkv,0.5,0.84,False,0.01,0.0,0.03,0.01,0.0,0.03,False,0.742,0.0707,0.0,0.2454,False,0.742,1.0,0.9408,False,False
llama31-8b,joint,niah_single,pl,snapkv,0.25,0.84,False,0.01,0.0,0.03,0.01,0.0,0.03,False,0.742,0.0707,0.0,0.2454,False,0.742,1.0,0.9408,False,False
llama31-8b,joint,niah_single,pl,streaming_llm,0.5,0.84,False,0.51,0.4,0.61,-0.03,-0.18,0.11,False,0.694,-3.1281,-3.8078,-2.353,True,0.0009995002498750624,1.0,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,pl,streaming_llm,0.25,0.84,False,0.71,0.61,0.8,-0.01,-0.15,0.12,False,0.917,-2.7346,-3.6136,-1.7733,True,0.0009995002498750624,1.0,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,pl,knorm,0.5,0.84,False,0.5,0.41,0.6,0.2,0.07,0.33,True,0.002,-2.1758,-2.7969,-1.3746,True,0.0009995002498750624,0.018000000000000002,0.0030000000000000005,True,True
llama31-8b,joint,niah_single,pl,knorm,0.25,0.84,False,0.81,0.73,0.88,-0.03,-0.14,0.08,False,0.554,-1.9762,-3.0654,-0.1953,True,0.028,1.0,0.0672,False,False
llama31-8b,joint,niah_single,sw,snapkv,0.5,0.92,False,0.0,-0.03,0.03,0.0,-0.03,0.03,False,1.0,0.0,-0.4299,0.3889,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,sw,snapkv,0.25,0.92,False,0.0,-0.03,0.03,0.0,-0.03,0.03,False,1.0,0.0,-0.3965,0.3887,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,sw,streaming_llm,0.5,0.92,False,0.49,0.39,0.59,-0.05,-0.19,0.09,False,0.496,-2.7959,-3.5173,-1.7368,True,0.0009995002498750624,1.0,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,sw,streaming_llm,0.25,0.92,False,0.64,0.54,0.73,-0.08,-0.21,0.05,False,0.261,-2.9162,-3.7194,-1.8737,True,0.0009995002498750624,0.8541818181818183,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,sw,knorm,0.5,0.92,False,0.3,0.19,0.4002,0.0,-0.14,0.14,False,1.0,-2.5628,-3.346,-1.4579,True,0.0009995002498750624,1.0,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,sw,knorm,0.25,0.92,False,0.85,0.77,0.92,0.01,-0.1,0.11,False,0.855,-2.0265,-3.0965,-0.5765,True,0.01,1.0,0.025714285714285714,False,True
llama31-8b,joint,niah_single,vi,snapkv,0.5,0.92,False,-0.01,-0.03,0.0,-0.01,-0.03,0.0,False,0.784,-0.1359,-0.5424,0.0,False,0.784,1.0,0.9408,False,False
llama31-8b,joint,niah_single,vi,snapkv,0.25,0.92,False,-0.01,-0.03,0.0,-0.01,-0.03,0.0,False,0.784,-0.1359,-0.5424,0.0,False,0.784,1.0,0.9408,False,False
llama31-8b,joint,niah_single,vi,streaming_llm,0.5,0.92,False,0.48,0.38,0.58,-0.06,-0.2,0.09,False,0.473,-2.8362,-3.5901,-1.8161,True,0.001,1.0,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,vi,streaming_llm,0.25,0.92,False,0.68,0.59,0.78,-0.04,-0.17,0.0902,False,0.602,-2.7112,-3.5465,-1.5976,True,0.001,1.0,0.0030000000000000005,False,True
llama31-8b,joint,niah_single,vi,knorm,0.5,0.92,False,0.56,0.46,0.6502,0.26,0.13,0.4,True,0.0009995002498750624,-1.5089,-2.2215,-0.4781,True,0.009,0.01199400299850075,0.02492307692307692,True,True
llama31-8b,joint,niah_single,vi,knorm,0.25,0.92,False,0.9,0.84,0.96,0.06,-0.03,0.15,False,0.241,-0.8758,-2.0304,1.1479,False,0.397,0.8541818181818183,0.6213913043478262,False,False
llama31-8b,joint,niah_single,zh,snapkv,0.5,0.98,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,zh,snapkv,0.25,0.98,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,joint,niah_single,zh,streaming_llm,0.5,0.98,False,0.55,0.45,0.65,0.01,-0.12,0.15,False,0.917,-1.5093,-2.4892,0.3603,False,0.189,1.0,0.3402,False,False
llama31-8b,joint,niah_single,zh,streaming_llm,0.25,0.98,False,0.71,0.62,0.79,-0.01,-0.13,0.11,False,0.966,-1.5801,-2.6235,0.3643,False,0.169,1.0,0.3202105263157895,False,False
llama31-8b,joint,niah_single,zh,knorm,0.5,0.98,False,0.58,0.48,0.68,0.28,0.15,0.42,True,0.0009995002498750624,-0.3903,-1.3931,1.5186,False,0.699,0.01199400299850075,0.9408,True,False
llama31-8b,joint,niah_single,zh,knorm,0.25,0.98,False,0.92,0.86,0.97,0.08,-0.01,0.1702,False,0.104,-0.5861,-1.8112,1.5704,False,0.625,0.624,0.9375,False,False
llama31-8b,qa,niah_none,en,snapkv,0.5,0.63,False,-0.18,-0.25,-0.11,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_none,en,snapkv,0.25,0.63,False,-0.21,-0.3,-0.12,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_none,en,streaming_llm,0.5,0.63,False,-0.03,-0.1,0.04,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_none,en,streaming_llm,0.25,0.63,False,-0.12,-0.21,-0.02,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_none,en,knorm,0.5,0.63,False,-0.09,-0.16,-0.02,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_none,en,knorm,0.25,0.63,False,-0.01,-0.1,0.08,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_none,ja,snapkv,0.5,0.51,True,0.05,-0.03,0.14,0.23,0.12,0.35,True,0.0009995002498750624,1.1018,0.6096,1.6593,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,ja,snapkv,0.25,0.51,True,0.01,-0.09,0.11,0.22,0.09,0.35,True,0.001,1.1463,0.537,1.8621,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,ja,streaming_llm,0.5,0.51,True,-0.18,-0.28,-0.08,-0.15,-0.27,-0.03,True,0.019,-0.6222,-1.172,-0.0959,True,0.021,0.025333333333333333,0.03024,True,True
llama31-8b,qa,niah_none,ja,streaming_llm,0.25,0.51,True,-0.36,-0.47,-0.26,-0.24,-0.4,-0.1,True,0.003,-1.2706,-2.1633,-0.5585,True,0.001,0.00432,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,ja,knorm,0.5,0.51,True,0.18,0.08,0.28,0.27,0.15,0.3902,True,0.0009995002498750624,1.1472,0.6198,1.7278,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,ja,knorm,0.25,0.51,True,0.09,-0.02,0.2,0.1,-0.0403,0.25,False,0.184,0.4018,-0.2008,1.0226,False,0.184,0.2208,0.2256,False,False
llama31-8b,qa,niah_none,ko,snapkv,0.5,0.83,False,0.18,0.09,0.27,0.36,0.25,0.48,True,0.0009995002498750624,1.8536,1.2853,2.5603,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,ko,snapkv,0.25,0.83,False,0.51,0.39,0.63,0.72,0.58,0.87,True,0.0009995002498750624,3.4149,2.6729,4.3389,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
