model,lang,press,kept,acc_joint,acc_qa,d_joint_minus_qa,ci_low,ci_high,sig,p,n,q,sig_bh
llama31-8b,en,none,1.0,1.0,1.0,0.0,0.0,0.0,False,1.0,100,1.0,False
llama31-8b,en,snapkv,0.5,1.0,0.9,0.1,0.04,0.16,True,0.001,100,0.002625,True
llama31-8b,en,snapkv,0.25,1.0,0.45,0.55,0.45,0.64,True,0.0009995002498750624,100,0.002625,True
llama31-8b,en,streaming_llm,0.5,0.46,0.46,0.0,0.0,0.0,False,1.0,100,1.0,False
llama31-8b,en,streaming_llm,0.25,0.28,0.27,0.01,0.0,0.03,False,0.765,100,0.9695,False
llama31-8b,en,knorm,0.5,0.7,0.72,-0.02,-0.05,0.0,False,0.289,100,0.48552,False
llama31-8b,en,knorm,0.25,0.16,0.17,-0.01,-0.07,0.05,False,0.863,100,0.9796216216216217,False
llama31-8b,ja,none,1.0,0.98,0.98,0.0,0.0,0.0,False,1.0,100,1.0,False
llama31-8b,ja,snapkv,0.5,0.98,0.76,0.22,0.14,0.31,True,0.0009995002498750624,100,0.002625,True
llama31-8b,ja,snapkv,0.25,0.98,0.21,0.77,0.68,0.85,True,0.0009995002498750624,100,0.002625,True
llama31-8b,ja,streaming_llm,0.5,0.44,0.45,-0.01,-0.03,0.0,False,0.741,100,0.9695,False
llama31-8b,ja,streaming_llm,0.25,0.26,0.25,0.01,0.0,0.03,False,0.761,100,0.9695,False
llama31-8b,ja,knorm,0.5,0.52,0.49,0.03,-0.02,0.08,False,0.351,100,0.567,False
llama31-8b,ja,knorm,0.25,0.17,0.17,0.0,0.0,0.0,False,1.0,100,1.0,False
llama31-8b,ko,none,1.0,0.77,0.77,0.0,0.0,0.0,False,1.0,100,1.0,False
llama31-8b,ko,snapkv,0.5,0.76,0.78,-0.02,-0.09,0.06,False,0.743,100,0.9695,False
llama31-8b,ko,snapkv,0.25,0.75,0.62,0.13,0.03,0.23,True,0.016,100,0.037333333333333336,True
llama31-8b,ko,streaming_llm,0.5,0.32,0.38,-0.06,-0.13,0.0,False,0.096,100,0.2016,False
llama31-8b,ko,streaming_llm,0.25,0.15,0.21,-0.06,-0.12,-0.01,True,0.045,100,0.09947368421052631,False
llama31-8b,ko,knorm,0.5,0.49,0.87,-0.38,-0.48,-0.28,True,0.0009995002498750624,100,0.002625,True
llama31-8b,ko,knorm,0.25,0.35,0.82,-0.47,-0.58,-0.35,True,0.0009995002498750624,100,0.002625,True
llama31-8b,pl,none,1.0,0.84,0.84,0.0,-0.03,0.03,False,1.0,100,1.0,False
llama31-8b,pl,snapkv,0.5,0.83,0.3,0.53,0.43,0.63,True,0.0009995002498750624,100,0.002625,True
llama31-8b,pl,snapkv,0.25,0.83,0.0,0.83,0.75,0.9,True,0.0009995002498750624,100,0.002625,True
llama31-8b,pl,streaming_llm,0.5,0.33,0.49,-0.16,-0.24,-0.09,True,0.0009995002498750624,100,0.002625,True
llama31-8b,pl,streaming_llm,0.25,0.13,0.28,-0.15,-0.22,-0.08,True,0.0009995002498750624,100,0.002625,True
llama31-8b,pl,knorm,0.5,0.34,0.3,0.04,-0.02,0.1,False,0.27,100,0.4725,False
llama31-8b,pl,knorm,0.25,0.03,0.04,-0.01,-0.05,0.02,False,0.814,100,0.9695,False
llama31-8b,sw,none,1.0,0.92,0.92,0.0,-0.03,0.03,False,1.0,100,1.0,False
llama31-8b,sw,snapkv,0.5,0.92,0.91,0.01,-0.02,0.05,False,0.791,100,0.9695,False
llama31-8b,sw,snapkv,0.25,0.92,0.9,0.02,-0.05,0.1,False,0.682,100,0.9695,False
llama31-8b,sw,streaming_llm,0.5,0.43,0.43,0.0,-0.03,0.03,False,1.0,100,1.0,False
llama31-8b,sw,streaming_llm,0.25,0.28,0.27,0.01,0.0,0.03,False,0.736,100,0.9695,False
llama31-8b,sw,knorm,0.5,0.62,0.68,-0.06,-0.13,0.01,False,0.106,100,0.212,False
llama31-8b,sw,knorm,0.25,0.07,0.06,0.01,-0.03,0.05,False,0.831,100,0.9695,False
llama31-8b,vi,none,1.0,0.92,0.9,0.02,-0.02,0.06,False,0.459,100,1.0,False
llama31-8b,vi,snapkv,0.5,0.93,0.14,0.79,0.71,0.87,True,0.0009995002498750624,100,0.002625,True
llama31-8b,vi,snapkv,0.25,0.93,0.03,0.9,0.84,0.96,True,0.0009995002498750624,100,0.002625,True
llama31-8b,vi,streaming_llm,0.5,0.44,0.4,0.04,0.0,0.09,False,0.129,100,0.24104347826086958,False
llama31-8b,vi,streaming_llm,0.25,0.24,0.19,0.05,0.01,0.1,True,0.013,100,0.03211764705882353,True
llama31-8b,vi,knorm,0.5,0.36,0.79,-0.43,-0.54,-0.33,True,0.0009995002498750624,100,0.002625,True
llama31-8b,vi,knorm,0.25,0.02,0.14,-0.12,-0.19,-0.06,True,0.0009995002498750624,100,0.002625,True
llama31-8b,zh,none,1.0,0.98,0.98,0.0,0.0,0.0,False,1.0,100,1.0,False
llama31-8b,zh,snapkv,0.5,0.98,0.63,0.35,0.25,0.45,True,0.0009995002498750624,100,0.002625,True
llama31-8b,zh,snapkv,0.25,0.98,0.24,0.74,0.64,0.83,True,0.0009995002498750624,100,0.002625,True
llama31-8b,zh,streaming_llm,0.5,0.43,0.43,0.0,0.0,0.0,False,1.0,100,1.0,False
llama31-8b,zh,streaming_llm,0.25,0.27,0.27,0.0,0.0,0.0,False,1.0,100,1.0,False
llama31-8b,zh,knorm,0.5,0.4,0.36,0.04,0.0,0.09,False,0.132,100,0.24104347826086958,False
llama31-8b,zh,knorm,0.25,0.06,0.05,0.01,0.0,0.03,False,0.725,100,0.9695,False
qwen25-7b-1m,en,none,1.0,0.98,0.98,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,en,snapkv,0.5,0.98,0.37,0.61,0.52,0.7002,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,en,snapkv,0.25,0.98,0.07,0.91,0.85,0.96,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,en,streaming_llm,0.5,0.45,0.45,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,en,streaming_llm,0.25,0.27,0.27,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,en,knorm,0.5,0.09,0.04,0.05,0.0,0.1,False,0.076,100,0.16799999999999998,False
qwen25-7b-1m,en,knorm,0.25,0.01,0.02,-0.01,-0.04,0.02,False,0.816,100,1.0,False
qwen25-7b-1m,ja,none,1.0,0.9,0.96,-0.06,-0.11,-0.02,True,0.008,100,1.0,False
qwen25-7b-1m,ja,snapkv,0.5,0.95,0.16,0.79,0.71,0.87,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,ja,snapkv,0.25,0.92,0.06,0.86,0.79,0.92,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,ja,streaming_llm,0.5,0.45,0.46,-0.01,-0.03,0.0,False,0.732,100,1.0,False
qwen25-7b-1m,ja,streaming_llm,0.25,0.28,0.28,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,ja,knorm,0.5,0.08,0.07,0.01,-0.04,0.06,False,0.847,100,1.0,False
qwen25-7b-1m,ja,knorm,0.25,0.01,0.03,-0.02,-0.05,0.0,False,0.288,100,0.5498181818181818,False
qwen25-7b-1m,ko,none,1.0,1.0,1.0,0.0,0.0,0.0,False,1.0,100,1.0,False
