model,lang,task,kept,sample_id,keep_overall,keep_value,keep_window,keep_question,keep_haystack,keep_overall_high,keep_value_high,keep_window_high,keep_question_high,keep_haystack_high,arm,frac_value_evicted,n_tokens,n_value_tokens,n_question_tokens,depth
llama31-8b,vi,niah_single,0.5,0,0.4999847412109375,0.9544270844198763,0.8397484733723104,0.9011904807994142,0.49826577852945775,0.4999847412109375,0.045572917559184134,0.15987042625783943,0.09873512158446829,0.501704276073724,joint,0.015625,32757,3,105,0.0408
llama31-8b,vi,niah_single,0.5,1,0.4999847412109375,0.9401041680248454,0.6862909256014973,0.8976790020242333,0.49848855985328555,0.4999847412109375,0.05989583441987634,0.31501116760773584,0.10239684490079526,0.5014788629487157,joint,0.0234375,32753,3,103,0.2484
llama31-8b,vi,niah_single,0.5,2,0.4999847412109375,0.9283854187233374,0.6416480705374852,0.891629469464533,0.498541233711876,0.4999847412109375,0.07291666802484542,0.35844494838966057,0.1082217290168046,0.5014284563949332,joint,0.02734375,32757,3,105,0.9648
llama31-8b,vi,niah_single,0.5,3,0.4999847412109375,0.9492187513969839,0.5814062507124618,0.8988882211269811,0.49858732405118644,0.4999847412109375,0.05208333441987634,0.4202343756041955,0.10088641916809138,0.5013802045723423,joint,0.015625,32755,3,104,0.1691
llama31-8b,vi,niah_single,0.5,4,0.4999847412109375,0.9348958353511989,0.6119186066789553,0.8914137615356594,0.4985887105576694,0.4999847412109375,0.06640625139698386,0.3879905530484393,0.10757211594682303,0.5013839874882251,joint,0.01953125,32755,3,104,0.9767
llama31-8b,vi,niah_single,0.5,5,0.4999847412109375,0.8841145862825215,0.7304687489522621,0.8928034846903756,0.4983994731446728,0.4999847412109375,0.11718750256113708,0.2699468076170888,0.1069711545278551,0.5015699752839282,joint,0.03515625,32755,3,104,0.9003
llama31-8b,vi,niah_single,0.5,6,0.4999847412109375,0.912760418606922,0.6364397364668548,0.8908482197439298,0.49855045694857836,0.4999847412109375,0.08463541837409139,0.36346726992633194,0.10911458612827118,0.5014191133668646,joint,0.02734375,32757,3,105,0.9648
llama31-8b,vi,niah_single,0.5,7,0.4999847412109375,0.8984375025611371,0.4593564055976458,0.8930288465926424,0.4987835326464847,0.4999847412109375,0.10156250209547579,0.544270841171965,0.10704627526502009,0.5011809032876045,joint,0.03125,32755,3,104,0.7364
llama31-8b,vi,niah_single,0.5,8,0.4999847412109375,0.9401041679084301,0.7937700429465622,0.894155649584718,0.4983763888012618,0.4999847412109375,0.057291667675599456,0.20462740956281777,0.10509315016679466,0.5015972605906427,joint,0.0234375,32755,3,104,0.3753
llama31-8b,vi,niah_single,0.5,9,0.4999847412109375,0.9075520857004449,0.5834147115238011,0.89397321944125,0.4985930834664032,0.4999847412109375,0.09635416872333735,0.4195149732986465,0.10625000277286745,0.501371210673824,joint,0.02734375,32757,3,105,0.6598
llama31-8b,vi,niah_single,0.5,10,0.4999847412109375,0.9401041682576761,0.6215587863116525,0.89069941022899,0.49857010261621326,0.4999847412109375,0.05989583441987634,0.3774181619519368,0.10900297891566879,0.5014015040360391,joint,0.0234375,32757,3,105,0.9767
llama31-8b,vi,niah_single,0.5,11,0.4999847412109375,0.886718753259629,0.7276909871725366,0.8915264420211315,0.49842161405831575,0.4999847412109375,0.1145833358168602,0.2734375076252036,0.10794771706787287,0.5015478383284062,joint,0.02734375,32755,3,104,0.9002
llama31-8b,vi,niah_single,0.5,12,0.4999847412109375,0.9453125013969839,0.619850852759555,0.8900722311809659,0.4985549708362669,0.4999847412109375,0.057291667675599456,0.381036932580173,0.10930129722692072,0.5014152170624584,joint,0.01953125,32759,3,106,0.9255
llama31-8b,vi,niah_single,0.5,13,0.4999847412109375,0.9049479196546599,0.6545139068621211,0.8918042468139902,0.4984977851854637,0.4999847412109375,0.09505208523478359,0.3447916762379464,0.10723761827102862,0.501475629163906,joint,0.03125,32759,3,106,0.9403
llama31-8b,vi,niah_single,0.5,14,0.4999847412109375,0.9427083348855376,0.7489984119310975,0.8995267427526414,0.49841280246619135,0.4999847412109375,0.0572916679084301,0.25080128890112974,0.10062349852887564,0.5015562950866297,joint,0.015625,32755,3,104,0.0831
llama31-8b,vi,niah_single,0.5,15,0.4999847412109375,0.9348958351183683,0.5780468778102659,0.8987004209775478,0.49859307473525405,0.4999847412109375,0.06250000139698386,0.42210937522759195,0.10216346209926996,0.5013732556253672,joint,0.015625,32755,3,104,0.1691
llama31-8b,vi,niah_single,0.5,16,0.4999847412109375,0.9205729194218293,0.583757271640934,0.8942683307686821,0.49861674127168953,0.4999847412109375,0.07552083523478359,0.40879360714461654,0.10561899108142825,0.5013627834850922,joint,0.01171875,32755,3,104,0.4717
llama31-8b,vi,niah_single,0.5,17,0.4999847412109375,0.9479166682576761,0.6443452428793535,0.8982514929957688,0.4985164375975728,0.4999847412109375,0.05208333441987634,0.35546875844011083,0.1014136929770757,0.5014542104909196,joint,0.015625,32757,3,105,0.2977
llama31-8b,vi,niah_single,0.5,18,0.4999847412109375,0.9205729191889986,0.5951126468717121,0.8952008980559185,0.4985867156647146,0.4999847412109375,0.07812500186264515,0.39825581636978313,0.10409226468254928,0.5013936538016424,joint,0.015625,32757,3,105,0.4717
llama31-8b,vi,niah_single,0.5,19,0.4999847412109375,0.9101562525611371,0.7313829774502665,0.892578125,0.498398874187842,0.4999847412109375,0.08984375186264515,0.26786901499144733,0.10678335373449954,0.5015735699562356,joint,0.02734375,32755,3,104,0.9003
llama31-8b,vi,niah_single,0.5,20,0.4999847412109375,0.9348958351183683,0.5915890861069784,0.8905133983353153,0.49859504331834614,0.4999847412109375,0.06770833500195295,0.4097406913060695,0.10956101478586788,0.5013721281429753,joint,0.01171875,32757,3,105,0.6598
llama31-8b,vi,niah_single,0.5,21,0.4999847412109375,0.9375000018626451,0.6098513728938997,0.89415923145134,0.4985774541273713,0.4999847412109375,0.06380208465270698,0.3961509130895138,0.10621280030682101,0.5013831336982548,joint,0.01953125,32757,3,105,0.5479
llama31-8b,vi,niah_single,0.5,22,0.4999847412109375,0.9361979182576761,0.5695312700700015,0.8944936904590577,0.4986304281046614,0.4999847412109375,0.06640625128056854,0.43897570547414944,0.10618239229734172,0.5013250031042844,joint,0.0234375,32755,3,104,0.5479
llama31-8b,vi,niah_single,0.5,23,0.4999847412109375,0.938802085001953,0.7924679598072544,0.8943824456073344,0.49836517916992307,0.4999847412109375,0.05989583465270698,0.20492789039417403,0.10491071687647491,0.5016095471801236,joint,0.01953125,32757,3,105,0.3753
llama31-8b,ko,niah_single,0.5,0,0.5,0.958333334303461,0.7778003213461488,0.928511424921453,0.4981173648266122,0.5,0.04166666744276881,0.22270698019929114,0.071446572575951,0.5018815563526005,joint,0.015625,32700,3,93,0.0407
llama31-8b,ko,niah_single,0.5,1,0.5,0.9583333341870457,0.7507324223406613,0.9247311833314598,0.49816894880495965,0.5,0.041666667559184134,0.2481445313860604,0.07522681429327349,0.5018339317757636,joint,0.01171875,32700,3,93,0.2153
