model,arm,task,lang,press,kept,drop,d_false_absence,d_wrong_number,d_other,share_false_absence,share_wrong_number,share_other,d_false_presence_distractor,d_false_presence_hallucinated,share_false_presence_distractor,share_false_presence_hallucinated
llama31-8b,joint,niah_single,en,knorm,0.25,0.84,0.03,0.81,0.0,0.03571428571428571,0.9642857142857144,0.0,,,,
llama31-8b,joint,niah_single,ja,knorm,0.25,0.8099999999999999,0.06,0.75,0.0,0.07407407407407407,0.925925925925926,0.0,,,,
llama31-8b,joint,niah_single,ko,knorm,0.25,0.42000000000000004,0.42000000000000004,0.0,0.0,1.0,0.0,0.0,,,,
llama31-8b,joint,niah_single,pl,knorm,0.25,0.8099999999999999,0.4099999999999999,0.39,0.01,0.5061728395061728,0.4814814814814815,0.01234567901234568,,,,
llama31-8b,joint,niah_single,sw,knorm,0.25,0.8500000000000001,0.07,0.6799999999999999,0.1,0.08235294117647059,0.7999999999999998,0.11764705882352941,,,,
llama31-8b,joint,niah_single,vi,knorm,0.25,0.9,0.79,0.11,0.0,0.8777777777777778,0.12222222222222222,0.0,,,,
llama31-8b,joint,niah_single,zh,knorm,0.25,0.9199999999999999,0.09999999999999999,0.82,0.0,0.10869565217391304,0.8913043478260869,0.0,,,,
llama31-8b,joint,niah_single,en,knorm,0.5,0.30000000000000004,0.01,0.29,0.0,0.033333333333333326,0.9666666666666665,0.0,,,,
llama31-8b,joint,niah_single,ja,knorm,0.5,0.45999999999999996,0.009999999999999998,0.45,0.0,0.021739130434782608,0.9782608695652175,0.0,,,,
llama31-8b,joint,niah_single,ko,knorm,0.5,0.28,0.29000000000000004,-0.01,0.0,1.0357142857142858,-0.03571428571428571,0.0,,,,
llama31-8b,joint,niah_single,pl,knorm,0.5,0.49999999999999994,0.1,0.4,0.0,0.20000000000000004,0.8000000000000002,0.0,,,,
llama31-8b,joint,niah_single,sw,knorm,0.5,0.30000000000000004,0.019999999999999997,0.17,0.11,0.06666666666666665,0.5666666666666667,0.36666666666666664,,,,
llama31-8b,joint,niah_single,vi,knorm,0.5,0.56,0.42,0.14,0.0,0.7499999999999999,0.25,0.0,,,,
llama31-8b,joint,niah_single,zh,knorm,0.5,0.58,0.030000000000000002,0.55,0.0,0.05172413793103449,0.9482758620689656,0.0,,,,
llama31-8b,joint,niah_single,en,snapkv,0.25,-0.0,0.0,0.0,0.0,,,,,,,
llama31-8b,joint,niah_single,ja,snapkv,0.25,-0.0,0.0,0.0,0.0,,,,,,,
llama31-8b,joint,niah_single,ko,snapkv,0.25,0.020000000000000018,0.0,0.02,0.0,0.0,0.9999999999999991,0.0,,,,
llama31-8b,joint,niah_single,pl,snapkv,0.25,0.010000000000000009,0.010000000000000009,0.0,0.0,1.0,0.0,0.0,,,,
llama31-8b,joint,niah_single,sw,snapkv,0.25,-0.0,0.0,0.010000000000000009,-0.01,,,,,,,
llama31-8b,joint,niah_single,vi,snapkv,0.25,-0.010000000000000009,-0.009999999999999995,0.0,0.0,,,,,,,
llama31-8b,joint,niah_single,zh,snapkv,0.25,-0.0,0.0,0.0,0.0,,,,,,,
llama31-8b,joint,niah_single,en,snapkv,0.5,-0.0,0.0,0.0,0.0,,,,,,,
llama31-8b,joint,niah_single,ja,snapkv,0.5,-0.0,0.0,0.0,0.0,,,,,,,
