lang,flores,tokens_per_byte,tokens_per_char,n_sentences,tokens_per_byte_eval,tokens_per_char_eval,n_eval_docs
en,eng_Latn,0.20569,0.20589,1012,0.23115,0.23721,24
pl,pol_Latn,0.34651,0.3683,1012,0.35734,0.39048,24
ru,rus_Cyrl,0.16869,0.30906,1012,0.19007,0.33252,24
zh,cmn_Hans,0.28814,0.80485,1012,0.30283,0.89674,24
ja,jpn_Jpan,0.24565,0.72091,1012,0.23632,0.70584,24
ko,kor_Hang,0.25627,0.61304,1012,0.26574,0.63753,24
vi,vie_Latn,0.20592,0.2728,1012,0.22564,0.29732,24
hi,hin_Deva,0.20326,0.52276,1012,0.20898,0.5295,24
sw,swh_Latn,0.3793,0.37986,1012,0.39783,0.39787,24
ta,tam_Taml,0.49277,1.348,1012,0.49287,1.35147,24
