lang,flores,tokens_per_byte,tokens_per_char,n_sentences,tokens_per_byte_eval,tokens_per_char_eval,n_eval_docs
en,eng_Latn,0.2091,0.2093,1012,0.23122,0.23728,24
pl,pol_Latn,0.32881,0.34948,1012,0.33986,0.37138,24
ru,rus_Cyrl,0.18618,0.34111,1012,0.20967,0.36681,24
zh,cmn_Hans,0.22931,0.64052,1012,0.25682,0.7605,24
ja,jpn_Jpan,0.23184,0.68038,1012,0.22184,0.66261,24
ko,kor_Hang,0.2853,0.68248,1012,0.29821,0.71543,24
vi,vie_Latn,0.21591,0.28603,1012,0.22645,0.29837,24
hi,hin_Deva,0.36181,0.93056,1012,0.36522,0.92536,24
sw,swh_Latn,0.38668,0.38725,1012,0.4042,0.40424,24
ta,tam_Taml,0.40041,1.09534,1012,0.40489,1.1102,24
