model,arm,task,lang,press,kept,acc,acc_robust,n,delta_robust
llama31-8b,joint,niah_single,en,knorm,0.25,0.16,0.16,100,0.0
llama31-8b,joint,niah_single,en,knorm,0.5,0.7,0.7,100,0.0
llama31-8b,joint,niah_single,en,none,1.0,1.0,1.0,100,0.0
llama31-8b,joint,niah_single,en,snapkv,0.25,1.0,1.0,100,0.0
llama31-8b,joint,niah_single,en,snapkv,0.5,1.0,1.0,100,0.0
llama31-8b,joint,niah_single,en,streaming_llm,0.25,0.28,0.28,100,0.0
llama31-8b,joint,niah_single,en,streaming_llm,0.5,0.46,0.46,100,0.0
llama31-8b,joint,niah_single,ja,knorm,0.25,0.17,0.17,100,0.0
llama31-8b,joint,niah_single,ja,knorm,0.5,0.52,0.52,100,0.0
llama31-8b,joint,niah_single,ja,none,1.0,0.98,0.98,100,0.0
llama31-8b,joint,niah_single,ja,snapkv,0.25,0.98,0.98,100,0.0
llama31-8b,joint,niah_single,ja,snapkv,0.5,0.98,0.98,100,0.0
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,0.26,0.26,100,0.0
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,0.44,0.44,100,0.0
llama31-8b,joint,niah_single,ko,knorm,0.25,0.35,0.41,100,-0.06
llama31-8b,joint,niah_single,ko,knorm,0.5,0.49,0.5,100,-0.01
llama31-8b,joint,niah_single,ko,none,1.0,0.77,0.83,100,-0.06
llama31-8b,joint,niah_single,ko,snapkv,0.25,0.75,0.79,100,-0.04
llama31-8b,joint,niah_single,ko,snapkv,0.5,0.76,0.81,100,-0.05
llama31-8b,joint,niah_single,ko,streaming_llm,0.25,0.15,0.2,100,-0.05
llama31-8b,joint,niah_single,ko,streaming_llm,0.5,0.32,0.38,100,-0.06
llama31-8b,joint,niah_single,pl,knorm,0.25,0.03,0.03,100,0.0
llama31-8b,joint,niah_single,pl,knorm,0.5,0.34,0.34,100,0.0
llama31-8b,joint,niah_single,pl,none,1.0,0.84,0.84,100,0.0
llama31-8b,joint,niah_single,pl,snapkv,0.25,0.83,0.83,100,0.0
llama31-8b,joint,niah_single,pl,snapkv,0.5,0.83,0.83,100,0.0
llama31-8b,joint,niah_single,pl,streaming_llm,0.25,0.13,0.13,100,0.0
llama31-8b,joint,niah_single,pl,streaming_llm,0.5,0.33,0.33,100,0.0
llama31-8b,joint,niah_single,sw,knorm,0.25,0.07,0.07,100,0.0
llama31-8b,joint,niah_single,sw,knorm,0.5,0.62,0.62,100,0.0
llama31-8b,joint,niah_single,sw,none,1.0,0.92,0.92,100,0.0
llama31-8b,joint,niah_single,sw,snapkv,0.25,0.92,0.92,100,0.0
llama31-8b,joint,niah_single,sw,snapkv,0.5,0.92,0.92,100,0.0
llama31-8b,joint,niah_single,sw,streaming_llm,0.25,0.28,0.28,100,0.0
llama31-8b,joint,niah_single,sw,streaming_llm,0.5,0.43,0.43,100,0.0
llama31-8b,joint,niah_single,vi,knorm,0.25,0.02,0.07,100,-0.05
llama31-8b,joint,niah_single,vi,knorm,0.5,0.36,0.36,100,0.0
llama31-8b,joint,niah_single,vi,none,1.0,0.92,0.92,100,0.0
llama31-8b,joint,niah_single,vi,snapkv,0.25,0.93,0.93,100,0.0
llama31-8b,joint,niah_single,vi,snapkv,0.5,0.93,0.93,100,0.0
llama31-8b,joint,niah_single,vi,streaming_llm,0.25,0.24,0.24,100,0.0
llama31-8b,joint,niah_single,vi,streaming_llm,0.5,0.44,0.44,100,0.0
llama31-8b,joint,niah_single,zh,knorm,0.25,0.06,0.06,100,0.0
llama31-8b,joint,niah_single,zh,knorm,0.5,0.4,0.4,100,0.0
