model,arm,kept,lang,0-.25,.25-.5,.5-.75,.75-1
llama31-8b,joint,0.25,en,0.0,0.0,0.0,1.0
llama31-8b,joint,0.25,ja,0.0,0.0,0.0,0.929
llama31-8b,joint,0.25,ko,0.0,0.0,0.0,0.536
llama31-8b,joint,0.25,pl,0.0,0.0,0.0,0.464
llama31-8b,joint,0.25,sw,0.0,0.0,0.0,1.0
llama31-8b,joint,0.25,vi,0.0,0.0,0.0,0.774
llama31-8b,joint,0.25,zh,0.0,0.0,0.0,0.964
llama31-8b,joint,0.5,en,0.0,0.0,1.0,1.0
llama31-8b,joint,0.5,ja,0.0,0.0,1.0,0.929
llama31-8b,joint,0.5,ko,0.0,0.0,0.81,0.536
llama31-8b,joint,0.5,pl,0.0,0.136,1.0,0.429
llama31-8b,joint,0.5,sw,0.0,0.0,0.938,1.0
llama31-8b,joint,0.5,vi,0.0,0.0,1.0,0.742
llama31-8b,joint,0.5,zh,0.0,0.0,1.0,0.964
llama31-8b,qa,0.25,en,0.0,0.0,0.0,0.964
llama31-8b,qa,0.25,ja,0.0,0.0,0.0,0.893
llama31-8b,qa,0.25,ko,0.0,0.0,0.0,0.75
llama31-8b,qa,0.25,pl,0.0,0.0,0.0,1.0
llama31-8b,qa,0.25,sw,0.0,0.0,0.0,0.964
llama31-8b,qa,0.25,vi,0.0,0.0,0.0,0.613
llama31-8b,qa,0.25,zh,0.0,0.0,0.0,0.964
llama31-8b,qa,0.5,en,0.0,0.0,1.0,1.0
llama31-8b,qa,0.5,ja,0.0,0.0,1.0,0.964
llama31-8b,qa,0.5,ko,0.0,0.0,0.762,0.786
llama31-8b,qa,0.5,pl,0.0,0.136,1.0,1.0
llama31-8b,qa,0.5,sw,0.0,0.0,1.0,0.964
llama31-8b,qa,0.5,vi,0.0,0.0,1.0,0.613
llama31-8b,qa,0.5,zh,0.0,0.0,1.0,0.964
qwen25-7b-1m,joint,0.25,en,0.0,0.0,0.0,0.964
qwen25-7b-1m,joint,0.25,ja,0.0,0.0,0.0,1.0
qwen25-7b-1m,joint,0.25,ko,0.0,0.0,0.0,1.0
qwen25-7b-1m,joint,0.25,pl,0.0,0.0,0.0,1.0
qwen25-7b-1m,joint,0.25,sw,0.0,0.0,0.0,0.5
qwen25-7b-1m,joint,0.25,vi,0.0,0.0,0.0,0.903
qwen25-7b-1m,joint,0.25,zh,0.0,0.0,0.0,0.893
qwen25-7b-1m,joint,0.5,en,0.0,0.0,1.0,0.964
qwen25-7b-1m,joint,0.5,ja,0.0,0.0,1.0,0.964
qwen25-7b-1m,joint,0.5,ko,0.0,0.0,1.0,1.0
qwen25-7b-1m,joint,0.5,pl,0.0,0.136,1.0,1.0
qwen25-7b-1m,joint,0.5,sw,0.0,0.0,0.625,0.536
qwen25-7b-1m,joint,0.5,vi,0.0,0.0,1.0,0.903
qwen25-7b-1m,joint,0.5,zh,0.0,0.0,1.0,0.929
qwen25-7b-1m,qa,0.25,en,0.0,0.0,0.0,0.964
qwen25-7b-1m,qa,0.25,ja,0.0,0.0,0.0,1.0
qwen25-7b-1m,qa,0.25,ko,0.0,0.0,0.0,0.964
qwen25-7b-1m,qa,0.25,pl,0.0,0.0,0.0,1.0
qwen25-7b-1m,qa,0.25,sw,0.0,0.0,0.0,0.25
qwen25-7b-1m,qa,0.25,vi,0.0,0.0,0.0,0.935
qwen25-7b-1m,qa,0.25,zh,0.0,0.0,0.0,0.964
qwen25-7b-1m,qa,0.5,en,0.0,0.0,1.0,0.964
qwen25-7b-1m,qa,0.5,ja,0.0,0.0,1.0,1.0
qwen25-7b-1m,qa,0.5,ko,0.0,0.0,1.0,0.964
qwen25-7b-1m,qa,0.5,pl,0.0,0.136,1.0,1.0
qwen25-7b-1m,qa,0.5,sw,0.0,0.042,0.25,0.214
qwen25-7b-1m,qa,0.5,vi,0.0,0.0,1.0,0.935
qwen25-7b-1m,qa,0.5,zh,0.0,0.0,1.0,0.964
